"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Type","Header"
"Total Acquisition Cost and Quantity - Total Program",NA,NA,NA,NA,NA,NA,NA,"Name","Total Acquisition Cost and Quantity - Total Program"
NA,"BY 2004 $M",NA,NA,"BY2004","TY $M",NA,NA,"Header","CostSummaryCost2004"
NA,NA,NA,NA,"$M",NA,NA,NA,"Header","CostSummaryCost2004"
"Appropriation","SAR Baseline Dev Est","Current APB Objective/Threshold",NA,"Current Estimate",NA,NA,NA,"Header","CostSummaryCost2004"
NA,NA,NA,NA,NA,"SAR Baseline Dev Est","Current APB Objective","Current Estimate","Header","CostSummaryCost2004"
"RDT&E ","4992.3","4992.3","--","3462.7","5737","5737","3965.3",NA,NA
"Procurement","17759.1","17759.1","-- ","6165.7","24158.4","24158.4","8986.9",NA,NA
"Flyaway","15071.8","--","--","5662.5","20409.3","--","8257.9",NA,NA
"Recurring","14809.2","--","--","5590.5","20095.8","--","8170",NA,NA
"Non Recurring","262.6","-- ","-- ","72","313.5","-- ","87.9",NA,NA
"Support","2687.3","--","--","503.2","3749.1","--","729",NA,NA
"Other Support","1550.4","--","--","503.2","2125.1","--","729",NA,NA
"Initial Spares   ","1136.9","-- ","-- ","0","1624","-- ","0",NA,NA
"MILCON","0","0","--","0","0","0","0",NA,NA
"Acq O&M ","0","0","--","0","0","0","0",NA,NA
"Total","22751.4","22751.4","N/A","9628.4","29895.4","29895.4","12952.2",NA,NA
