"","Cost.and.Funding","X.","X..1","X..2","X..3","X..4","X..5","X..6","X..7","X..8"
"79","Annual Funding TY$, RDT&E, MISSILE, Army ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Fiscal Year","Quantity","End Item Recurring Flyaway TY $M","Non End Item Recurring Flyaway TY $M","Non Recurring Flyaway TY $M","Total Flyaway TY $M","Total Support TY $M","Total Program TY $M",NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2004","--","--","--","--","--","--","109.9",NA,NA
"85","2005","--","--","--","--","--","--","87.3",NA,NA
"86","2006","--","--","--","--","--","--","81.4",NA,NA
"87","2007","--","--","--","--","--","--","111.9",NA,NA
"88","2008","--","--","--","--","--","--","53.5",NA,NA
"89","2009","--","--","--","--","--","--","31",NA,NA
"90","2010","--","--","--","--","--","--","65.1",NA,NA
"91","2011","--","--","--","--","--","--","121.5",NA,NA
"92","2012","--","--","--","--","--","--","89",NA,NA
"93","2013","--","--","--","--","--","--","37.6",NA,NA
"94","Subtotal","--","--","--","--","--","--","788.2",NA,NA
