"","Total.Acquisition.Cost.and.Quantity...Total.Program","X.","X..1","X..2","X..3","X..4","X..5","X..6"
"17","Total Acquisition Cost and Quantity - Fire Unit",NA,NA,NA,NA,NA,NA,NA
"18",NA,"BY2004 $M",NA,NA,NA,"TY $M",NA,NA
"19","Appropriation","SAR Baseline Dev Est","Current APB Development Objective/Threshold",NA,"Current Estimate","SAR Baseline Dev Est","Current APB Development Objective ","Current Estimate"
"20",NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA
"22","RDT&E","4531.4","4531.4","5211.1","2708.8","5255","5255","3112.4"
"23","Procurement","11999.1","11999.1","13199","0","16584.4","16584.4","0"
"24","Flyaway ","--","--","--","0","--","--","0"
"25","Recurring","--","--","--","0","--","--","0"
"26","Non Recurring","--","--","--","0","--","--","0"
"27","Support","--","--","--","0","--","--","0"
"28","Other Support","--","--","--","0","--","--","0"
"29","Initial Spares","--","--","--","0","--","--","0"
"30","MILCON","0","0","--","0","0","0","0"
"31","Acq O&M","0","0","--","0","0","0","0"
"32","Total","16530.5","16530.5","N/A","2708.8","21839.4","21839.4","3112.4"
