"","Cost.and.Funding","X.","X..1","X..2","X..3","X..4","X..5","X..6","X..7","X..8"
"1","Funding Summary - Total Program ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","FY 2013 President's Budget / December 2011 SAR (TY$ M)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,"To",NA
"4","Appropriation","Prior","FY2012","FY2013","FY2014","FY2015","FY2016","FY2017","Complete","Total"
"5","RDT&E","3048.2","478.6","438.5","0","0","0","0","0","3965.3"
"6","Procurement","0","75","12.9","538.6","505.1","596.4","566.7","6692.2","8986.9"
"7","MILCON","0","0","0","0","0","0","0","0","0"
"8","Acq O&M ","0","0","0","0","0","0","0","0","0"
"9","PB 2013 Total ","3048.2","553.6","451.4","538.6","505.1","596.4","566.7","6692.2","12952.2"
"10","PB 2012 Total ","3005.7","570.6","1121.6","532.5","487","560.1","474.2","5811.6","12563.3"
"11","Delta ","42.5","-17","-670.2","6.1","18.1","36.3","92.5","880.6","388.9"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Appropriation and Quantity Summary - FIRE UNIT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","FY 2013 President's Budget / December 2011 SAR (TY$ M)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,"To",NA
"16","Appropriation","Prior","FY2012","FY2013","FY2014","FY2015","FY2016","FY2017","Complete","Total"
"17","RDT&E","2386.6","389.6","400.9","0","0","0","0","0","3177.1"
"18","Procurement","0","0","0","0","0","0","0","0","0"
"19","MILCON","0","0","0","0","0","0","0","0","0"
"20","Acq O&M ","0","0","0","0","0","0","0","0","0"
"21","PB 2013 Total ","2386.6","389.6","400.9","0","0","0","0","0","3177.1"
"22","PB 2012 Total ","2403.1","406.6","493.8","0","0","0","0","0","3303.5"
"23","Delta ","-16.5","-17","-92.9","0","0","0","0","0","-126.4"
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Quantity ","Undistributed","Prior","FY2012","FY2013","FY2014","FY2015","FY2016","FY2017","To Complete"
"26","Development","0","0","0","0","0","0","0","0","0"
"27","Production","0","0","0","0","0","0","0","0","0"
"28","PB 2012 Total","0","0","0","0","0","0","0","0","0"
"29","PB 2011 Total","0","0","0","0","0","0","0","0","0"
"30","Delta","0","0","0","0","0","0","0","0","0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Funding Summary - MISSILE ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","FY 2013 President's Budget / December 2011 SAR (TY$ M)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,"To",NA
"35","Appropriation","Prior","FY2012","FY2013","FY2014","FY2015","FY2016","FY2017","Complete","Total"
"36","RDT&E","661.6","89","37.6","0","0","0","0","0","788.2"
"37","Procurement","0","75","12.9","538.6","505.1","596.4","566.7","6692.2","8986.9"
"38","MILCON","0","0","0","0","0","0","0","0","0"
"39","Acq O&M ","0","0","0","0","0","0","0","0","0"
"40","PB 2012 Total ","661.6","164","50.5","538.6","505.1","596.4","566.7","6692.2","9775.1"
"41","PB 2011 Total ","602.6","164","627.8","532.5","487","560.1","474.2","5811.6","9259.8"
"42","Delta ","59","0","-577.3","6.1","18.1","36.3","92.5","880.6","515.3"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Quantity ","Undistributed","Prior","FY2012","FY2013","FY2014","FY2015","FY2016","FY2017","To Complete"
"45","Development","0","0","0","0","0","0","0","0","0"
"46","Production","0","0","0","0","56","72","80","82","1238"
"47","PB 2013 Total","0","0","0","0","56","72","80","82","1238"
"48","PB 2012 Total","0","0","0","56","82","76","80","90","1144"
"49","Delta","0","0","0","-56","-26","-4","0","-8","94"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Annual Funding TY$, RDT&E, FIRE UNIT, Army",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Fiscal Year","Quantity","End Item Recurring Flyaway TY $M","Non End Item Recurring Flyaway TY $M","Non Recurring Flyaway TY $M","Total Flyaway TY $M","Total Support TY $M","Total Program TY $M",NA,NA
"53","2004","--","--","--","--","--","--","126.9",NA,NA
"54","2005","--","--","--","--","--","--","164",NA,NA
"55","2006","--","--","--","--","--","--","193",NA,NA
"56","2007","--","--","--","--","--","--","211",NA,NA
"57","2008","--","--","--","--","--","--","316.3",NA,NA
"58","2009","--","--","--","--","--","--","423.7",NA,NA
"59","2010","--","--","--","--","--","--","501.1",NA,NA
"60","2011","--","--","--","--","--","--","450.6",NA,NA
"61","2012","--","--","--","--","--","--","389.6",NA,NA
"62","2013","--","--","--","--","--","--","400.9",NA,NA
"63","Subtotal","--","--","--","--","--","--","3177.1",NA,NA
