"","Total.Acquisition.Cost.and.Quantity...Total.Program","X.","X..1","X..2","X..3","X..4","X..5","X..6"
"1",NA,"BY2004 $M",NA,NA,NA,"TY $M",NA,NA
"2","Appropriation","SAR Baseline Dev Est","Current APB Development Objective/Threshold",NA,"Current Estimate","SAR Baseline Dev Est","Current APB Development Objective ","Current Estimate"
"3",NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA
"5","RDT&E","4992.3","4992.3","--","3410.7","5737","5737","3897.7"
"6","Procurement","17759.1","17759.1","--","5908.6","24158.4","24158.4","8718.6"
"7","Flyaway ","--","--","--","5397.5","--","--","7972.8"
"8","Recurring","--","--","--","5329.1","--","--","7889.6"
"9","Non Recurring","--","--","--","68.4","--","--","83.2"
"10","Support","--","--","--","511.1","--","--","745.8"
"11","Other Support","--","--","--","511.1","--","--","745.8"
"12","Initial Spares","--","--","--","0","--","--","0"
"13","MILCON","0","0","--","0","0","0","0"
"14","Acq O&M","0","0","--","0","0","0","0"
"15","Total","22751.4","22751.4","N/A","9319.3","29895.4","29895.4","12616.3"
