"","Low.Rate.Initial.Production..FIRE.UNIT","X.","X..1"
"1",NA,"Initial LRIP Decision","Current Total LRIP"
"2","Approval Date","38205","40585"
"3","Approved Quantity","7","0"
"4","Reference","ADM","ADM"
"5","Start Year","2013",NA
"6","End Year","2016",NA
"7",NA,NA,NA
"8","Low Rate Initial Production, MISSILE",NA,NA
"9",NA,"Initial LRIP Decision","Current Total LRIP"
"10","Approval Date","38205","38205"
"11","Approved Quantity","148","148"
"12","Reference","ADM","ADM"
"13","Start Year","2010","2010"
"14","End Year","2011","2011"
