"","Cost.and.Funding","X.","X..1","X..2","X..3","X..4","X..5","X..6","X..7","X..8"
"96","Annual Funding BY$, RDT&E, MISSILE, Army ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Fiscal Year","Quantity","End Item Recurring Flyaway BY 2004 $M","Non End Item Recurring Flyaway BY 2004 $M","Non Recurring Flyaway BY 2004 $M","Total Flyaway BY 2004 $M","Total Support BY 2004 $M","Total Program BY 2004 $M",NA,NA
"98","2004","--","--","--","--","--","--","107.4",NA,NA
"99","2005","--","--","--","--","--","--","82.9",NA,NA
"100","2006","--","--","--","--","--","--","75.2",NA,NA
"101","2007","--","--","--","--","--","--","101",NA,NA
"102","2008","--","--","--","--","--","--","47.4",NA,NA
"103","2009","--","--","--","--","--","--","27.1",NA,NA
"104","2010","--","--","--","--","--","--","56",NA,NA
"105","2011","--","--","--","--","--","--","102.5",NA,NA
"106","2012","--","--","--","--","--","--","73.8",NA,NA
"107","2013","--","--","--","--","--","--","30.6",NA,NA
"108","Subtotal","--","--","--","--","--","--","703.9",NA,NA
