"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Type","Header"
"Total Acquisition Cost and Quantity - FIRE UNIT",NA,NA,NA,NA,NA,NA,NA,"Name","Total Acquisition Cost and Quantity - FIRE UNIT"
NA,"BY 2004 $M",NA,NA,"BY2004","TY $M",NA,NA,"Header","CostSummaryCost2004"
NA,NA,NA,NA,"$M",NA,NA,NA,"Header","CostSummaryCost2004"
"Appropriation","SAR Baseline Dev Est","Current APB Development Objective/Threshold",NA,"Current Estimate",NA,NA,NA,"Header","CostSummaryCost2004"
NA,NA,NA,NA,NA,"SAR Baseline Dev Est","Current APB Development Objective","Current Estimate","Header","CostSummaryCost2004"
"RDT&E ","4531.4","4531.4","5211.1","2758.8","5255","5255","3177.1",NA,NA
"Procurement","11999.1","11999.1","13199","0","16584.4","16584.4","0",NA,NA
"Flyaway","9818.9","--","--","0","13494.5","--","0",NA,NA
"Recurring","9556.3","--","--","0","13181","--","0",NA,NA
"Non Recurring","262.6","-- ","-- ","0","313.5","-- ","0",NA,NA
"Support","2180.2","--","--","0","3089.9","--","0",NA,NA
"Other Support","1043.3","--","--","0","1465.9","--","0",NA,NA
"Initial Spares   ","1136.9","-- ","-- ","0","1624","-- ","0",NA,NA
"MILCON","0","0","--","0","0","0","0",NA,NA
"Acq O&M ","0","0","--","0","0","0","0",NA,NA
"Total","16530.5","16530.5","N/A","2758.8","21839.4","21839.4","3177.1",NA,NA
