"","Cost.and.Funding","X.","X..1","X..2","X..3","X..4","X..5","X..6","X..7","X..8"
"65","Annual Funding BY$, RDT&E, FIRE UNIT, Army ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Fiscal Year","Quantity","End Item Recurring Flyaway BY 2004 $M","Non End Item Recurring Flyaway BY 2004 $M","Non Recurring Flyaway BY 2004 $M","Total Flyaway BY 2004 $M","Total Support BY 2004 $M","Total Program BY 2004 $M",NA,NA
"67","2004","--","--","--","--","--","--","124",NA,NA
"68","2005","--","--","--","--","--","--","155.7",NA,NA
"69","2006","--","--","--","--","--","--","178.3",NA,NA
"70","2007","--","--","--","--","--","--","190.4",NA,NA
"71","2008","--","--","--","--","--","--","280",NA,NA
"72","2009","--","--","--","--","--","--","370.4",NA,NA
"73","2010","--","--","--","--","--","--","431.3",NA,NA
"74","2011","--","--","--","--","--","--","380",NA,NA
"75","2012","--","--","--","--","--","--","322.9",NA,NA
"76","2013","--","--","--","--","--","--","325.8",NA,NA
"77","Subtotal","--","--","--","--","--","--","2758.8",NA,NA
