"Date","Variation (£m)","Category","ReasonForVariation","Platform","Source"
"2007-03-01","-8","Accounting Adjustments and Redefinitions","Variation in Cost of Captial due to a revision of accruals in future forecast costs","A400M","2007"
"2007-03-01","-2","Change Requirement","Defer UK A400M National Training Facility by 2 years.","A400M","2007"
"2007-03-01","6","Change Requirement","Fule Tank Inertion System Pipe work","A400M","2007"
"2007-03-01","-12","Change Requirement","Deltion of Centralised Crypto Management Unit requirement","A400M","2007"
"2006-05-01","32","Technical Factors","Increase in Training cost, figures form industry indicated a shortfall in costing line","A400M","2007"
"2006-05-01","-3","Technical Factors","Realism decrease to Support acitivities post aircraft delivery","A400M","2007"
"Historic","-43","Accounting Adjustments and Redefinitions","Changes to Cost of Capital costs and Sunk Costs (-£1m). Correction of previous years treatment of deliveries (+£1m). Transfer from RDEL to CDEL (-£1m). Difference in variation figures due to revision of Cost of Capital Charge (-£42m).","A400M","2007"
"Historic","-312","Change Requirement","Deletion of Civil Pallets Configuration Item (-£5m). Addition of Propeller Brake(+£6m). Option to re-profile Training Facilities for realism (-£1m). Programme measure to move deferred configuration Items back into aircraft delivery profile (-£2m). Reduction in number of aircraft to be equipped with Defensive Aids Sub-System (DASS) from 25 to 9 (-£238m). Programme option to delete and defer Configuration Items and to slip In Service Date by 12 months (-£81m) Option bringing the DASS forward onto aircraft 1-9 (+£9m).","A400M","2007"
"Historic","-2","Technical Factors","Programme realism with regard to costing Technical Publications (-£5m), Special To Type Equipment (-£5m), Aircraft Ground Equipment (-£4m), Government Furnished Equipment/Facilities (-£7m) and Codification of equipment/spares (-£1m). Training Needs Analysis identified the need for funding increase; Develop &Build Facilities (+£11m), Initial Training (+£7m), Develop & Build Training Devices (+£6m), and Develop & Build Training Facilities (-£3m). Identification of UK only certification requirements (+£6m). Costing realism in line with better programme understanding including adjustment for actual sunk costs (-£6m). Costing re- adjusted with understanding of future programme – Certification (-£15m), Government Furnished Equipment (+£4m), Support (+£4m).  Re-profiling deliveries for realism Build Facilities (-£1m), Initial Provision Spares (-£5m), Deployment Kits (-£1m). Reduction in the requirement for government procured items. (-£46m).  Improved understanding of programme requirement for Initial Provision Spares (+£83m), Deployment Kits (-£1m),  Initial Training (-£13m) and Mission Planning & Restitution System (-£10m).","A400M","2007"
"Historic","5","Exchange Rate","A decrease in 2005/2006 (-£24m). Variation in 2004/2005 (+£39m). Variation in exchange rate assumptions used in the Business Case, 2000/2001, 2001/2002 and 2002/2003 (-£232m).  Variation in 2003/04 (+£222m).","A400M","2007"
"Historic","-90","Changed Budgetary Priorities","Departmental Reviews have identified savings to programme risks (-£23m). Changed delivery profile from that in the Business Case (-£61m).  Minor realism adjustments, includes UK share of Organisation Conjointe de Coopération en matière d'ARmement (OCCAR) Programme Division costs (+£5m), QinetiQ Support costs increased (+£1m), unidentified variance (+£1m). Equipment Programme Measure deleting 1 Simulator (-£20m). Minor realism changes includes Certification, Special To Type equipment and Training Facilities  (+£7m).","A400M","2007"
"Historic","12","Inflation","An increase in 2005/2006 (+£14m). An increase in 2004/2005 (+£8m). Changes between inflation rate assumed in the Business Case and yearly inflation indices resulting in a decrease 2000/2001 (-£6m), an increase 2001/2002 (+£6m), a decrease 2002/2003 (-£10m).","A400M","2007"
"Historic","353","Contracting Process","Realism to reflect 3 month delay in 2000/01 to contract effectivity (+£52m). Slip of aircraft payments and associated equipment to reflect above contract let decision (+£15m). Improved costing data for Configuration Items available (+£160m). Contract Effectivity Date (CED) slipped from November 2001 - October 2002 (+£149m). CED slipped from October 2002 – April 2003 (-£59m). Adjustments in line with increased knowledge of Programme (+£66m). CED slipped from April 2003 - May 2003, includes redefinition of Asset Deliveries to align with aircraft delivery schedule (-£30m).","A400M","2007"
"Historic","65","Procurement Strategy","Total number of aircraft ordered by participating nations higher than anticipated, and consequent reduction in Unit Production Cost (-£65m). Subsequent contract renegotiation due to German reduction in offtake (+£130m).","A400M","2007"
"Historic","-116","Risk Differential","Difference between the risk allowed for in the most likely (50%) and the approved figures at Main Gate.","A400M","2007"
"Net Variation","-115",NA,NA,"A400M","2007"
