"ReasonsForVariationsFromApprovedISDfactor","Variation","Factor","Explanation","Unit","Platform","Source"
"2015-01-01","6","Technical Factors","Updated programme estimate based on an assessment of the Airbus Defence & Space revised delivery schedule","Months","A400M","2015"
"Historic","***","Procurement Processes (International Collaboration)","A change due to programme rebalancing","Months","A400M","2015"
"Historic","***","Technical Factors","Updated programme estimate based upon A400M Task Force outputs and Air Support Cluster assessment","Months","A400M","2015"
"Historic","***","Technical Factors","Updated programme proposal received from Airbus Military, including revised production approach","Months","A400M","2015"
"Historic","***","Technical Factors","Programme delays affecting engine and aircraft first flight","Months","A400M","2015"
"Historic","***","Technical Factors","Reflects latestet delay and risk assessment beyond first flight","Months","A400M","2015"
"Historic","9","Technical Factors","Contract delay to aircraft delivery","Months","A400M","2015"
"Historic","16","Budgetary Factors","Change in the customers' requirement flowing from changed budgetary priorities","Months","A400M","2015"
"Historic",NA,"Procurement Processes","Delay in brining contract into effect as a result of delayed approvals in Germany","Months","A400M","2015"
"Net Variation","79",NA,NA,"Months","A400M","2015"
