"Category","Increase","Decrease","ReasonForVariation","Platform","Source"
"Technical Factors",NA,"46","Reduction in the requirement for government procured items. (-£46m).","A400M","2003"
"Changed Requirements","9","319","Reduction in number of aircraft to be equipped with Defensive Aids Sub-System (DASS) from 25 to 9 (-£238m). Programme option to delete and defer Configuration Items and to slip In Service Date by 12 months (-£81m). Option bringing the DASS forward onto aircraft 1-9 (+£9m).","A400M","2003"
"Changed Budgetary Priorities","7","81","Changed delivery profile from that in the Business Case (-£61m). Minor realism adjustments, includes UK share of OCCAR Programme Division costs (+£5m), QinetiQ Support costs increased (+£1m), unidentified variance (+£1m). Equipment Programme Measure deleting 1 Simulator (-£20m).","A400M","2003"
"Inflation","6","16","Changes between inflation rate assumed in the Business Case and yearly inflation indices resulting in a decrease 2000/2001 (-£6m), an increase 2001/2002 (+£6m), a decrease 2002/2003 (-£10m).","A400M","2003"
"Exchange Rate",NA,"232","Variation in exchange rate assumptions used in the Business Case, 2000/2001, 2001/2002 and 2002/2003 (-£232m).","A400M","2003"
"Contracting Process","442","59","Realism to reflect 3 month delay in 2000/01 to contract effectivity (+£52m). Slip of aircraft payments and associated equipment to reflect above contract let decision (+£15m). Improved costing data for Configuration Items available (+£160m). Contract Effectivity Date (CED) slipped from November 2001 - October 2002 (+£149m). CED slipped from October 2002 - April 2003 (-£59m). Adjustments in line with increased knowledge of Programme (+£66m).","A400M","2003"
"Procurement Strategy","130","65","Total number of aicraft ordered by participating nations higher than anticipated, and consequent reduction in UPC (-£65m). Subsequent contract renegotiation due to German reduction in offtake (+£130m).","A400M","2003"
"Accounting Adjustments and Re-definitions",NA,"1","Transfer from RDEL to CDEL (-£1m).","A400M","2003"
"Risk Differential",NA,"119","Difference between the most likely and highest acceptable cost at Main Gate (-£119m)","A400M","2003"
"Total","594","-938",NA,"A400M","2003"
"Net Variation",NA,"-344",NA,"A400M","2003"
