"Date","Variation (£m)","Category","ReasonForVariation","Platform","Source"
"2010-03-01","***","Exchange Rate","An In Year gain due to the increase in the value of £ vs € due to the difference between the set planning exchange rate and actual outturn","A400M","2010"
"2010-03-01","***","Changed Capability Requirements","A reduction in the need to use the International Training Centre facilities due to programme delays","A400M","2010"
"2010-03-01","***","Procurement Processes (International Collaboration)","A change due to the programme reblaancing as a result of work undertaken in support of concluding an amended contract","A400M","2010"
"2010-03-01","***","Exchange Rate","Loss due to the difference between the set planning exchange rate and the forecast outturn ","A400M","2010"
"2010-03-01","***","Procurement Processes","Revised costing for Mission Planning System due to change from acquisition only to also include support","A400M","2010"
"2010-03-01","***","Technical Factors","Increase due to the reassessment of the need for capital spares (two long deployment kits","A400M","2010"
"Historic","***","Exchange Rate","A loss in 2008/2009 due to the fall in the value of £ vs €","A400M","2010"
"Historic","***","Accounting Adjustments and Re-definitions","An increase in Cost of Capital Charge as a result of programme delays","A400M","2010"
"Historic","***","Changed Capability Requirements","A reduction in the need to use the International Training Centre facilities due to programme delays","A400M","2010"
"Historic","***","Exchange Rate","An increase on payments for training service","A400M","2010"
"Historic","***","Accounting Adjustments and Redefinitions","Inclusion of VAT on payments for training service","A400M","2010"
"Historic","***","Technical Factors","Increase due to the reassessment of the need for capital spares","A400M","2010"
"Historic","***","Changed Capability Requirements","Portable Removable On-Board Inert Gas Generation System fuel tank inerting system","A400M","2010"
"Historic","***","Inflation","An increase based on latest delivery schedule","A400M","2010"
"Historic","***","Accounting Adjustments and Redefinitions","Increase due to a revised estimate of the cost of training","A400M","2010"
"Historic","***","Exchange Rate","An increase in 2008/2009","A400M","2010"
"Historic","***","Technical Factors","Inclusion of additional airworthiness support to cover aircraft release to service","A400M","2010"
"Historic","***","Exchange Rate","Variation in 2008/2009","A400M","2010"
"Historic","***","Inflation","An increase in 2008/2009","A400M","2010"
"Historic","***","Changed Capability Requirements","Reintroduction of one training simulator","A400M","2010"
"Historic","-77","Accounting Adjustments and Re-definitions","Variation in Cost of Capital Charge due to a revision of accruals in future forecast costs (-£8m). Changes to Cost of Capital Charge and Sunk Costs (-£1m). Correction of previous years treatment of deliveries (+£1m). Transfer from RDEL to CDEL (-£1m). Difference in variation figures due to revision of Cost of Capital Charge (-£42m). Changes in timing of expenditure leading to a variation in Cost of Capital Charge (-£26m)","A400M","2010"
"Historic","-93","Changed Budgetary Priorities","Departmental Reviews have identified savings to programme risks (-£23m). Changed delivery profile from that in the Business Case (-£61m). Minor realism adjustments, includes UK share of Organisation Conjointe de Coopération en matière d'ARmement (OCCAR) Programme Division costs (+£5m), QinetiQ Support costs increased (+£1m), unidentified variance (+£1m). Equipment Programme Measure deleting 1 Simulator (-£20m). Minor realism changes includes Certification, Special To Type equipment and Training Facilities  (+£7m). Realism reprofile of Development Production Phase contract together with Directed Infra-Red Counter Measures and Cargo Hold Mock-up costs (-£4m) and associated Cost Of Capital charges (+£1m)","A400M","2010"
"Historic","-333","Changed Capability Requirements","Defer UK A400M National Training Facility by 2 years (-£2m). Fuel Tank Inertion System Pipe work (+£6m). Deletion of Centralised Crypto Management Unit requirement (-£12m). Deletion of Civil Pallets Configuration Item (-£5m). Addition of Propeller Brake (+£6m). Option to re-profile Training Facilities for Realism (-£1m). Programme measure to move deferred configuration Items back into aircraft delivery profile (-£2m). Reduction in number of aircraft to be equipped with Defensive Aids Sub-System from 25 to 9 (-£238m). Programme option to delete and defer Configuration Items and to slip In Service Date by 12 months. (-£81m). Option bringing the Defensive Aids Sub-System forward onto aircraft 1-9 (+£9m). Delay of programme by 9 months (-£12m) and associated Cost Of Capital changes (+£25m) Deletion of one training simulator (-£23m) and associated Cost Of Capital changes (-£3m)","A400M","2010"
