"Milestones","SARbaselineDevEst","CurrentAPBobjective","CurrentAPBthreshold","CurrentEstimate","Platform","Source"
"Concept Demonstration Contract Award","1996-11-01","1996-11-01","1997-05-01","1996-11-01","JSF","2011-12"
"Milestone B","2010-11-01","2011-11-01","2012-05-01","2001-10-01","JSF","2011-12"
"EMD Contract Award","2001-10-01","2001-10-01","2002-04-01","2001-10-01","JSF","2011-12"
"Preliminary Design Review","2003-04-01","2003-04-01","2003-10-01","2003-04-01","JSF","2011-12"
"Critical Design Review",NA,NA,NA,NA,"JSF","2011-12"
"CDR (CTOL&Common)","2005-10-01","2005-10-01","2006-04-01","2006-02-01","JSF","2011-12"
"CDR (STOVL&Common)","2006-05-01","2006-05-01","2006-11-01","2006-02-01","JSF","2011-12"
"CDR (CV&Common)","2007-01-01","2007-01-01","2007-07-01","2007-06-01","JSF","2011-12"
"DAE (IPR 1)","2006-01-01","2006-01-01","2006-07-01","2006-03-01","JSF","2011-12"
"1st Flt CTOL","2006-07-01","2006-07-01","2007-01-01","2006-12-01","JSF","2011-12"
"DAE (IPR 2)","2007-01-01","2007-01-01","2007-07-01","2007-04-01","JSF","2011-12"
"1st Flt STOVL","2008-03-01","2008-03-01","2008-09-01","2008-06-01","JSF","2011-12"
"1st Flt CV","2010-05-01","2010-05-01","2010-11-01","2010-06-01","JSF","2011-12"
"1st Production Aircraft Delivered","2010-12-01","2010-12-01","2011-06-01","2011-05-01","JSF","2011-12"
"Block 2B Fleet Release","N/A","2015-03-01","2015-09-01","2015-03-01","JSF","2011-12"
"Block 3F Fleet Release","N/A","2017-08-01","2018-02-01","2017-08-01","JSF","2011-12"
"Completed IOT&E","2016-04-01","2019-02-01","2019-08-01","2019-02-01","JSF","2011-12"
"Full Rate Production Decision","N/A","2019-04-01","2019-10-01","2019-04-01","JSF","2011-12"
"DAB Milestone C","2016-04-01","2019-04-01","2019-10-01","2019-04-01","JSF","2011-12"
"USMC IOC","2012-12-01","TBD","TBD","TBD","JSF","2011-12"
"USAF IOC","2016-04-01","TBD","TBD","TBD","JSF","2011-12"
"USN IOC","2016-04-01","TBD","TBD","TBD","JSF","2011-12"
