"Milestones","SARbaselineDevEst","CurrentAPBobjective","CurrentAPBthreshold","CurrentEstimate","Platform","Source"
"Concept Demonstration Contract Award","1996-11-01","1996-11-01","1997-05-01","1996-11-01","JSF","2009-12"
"Milestone B","2001-10-01","2001-10-01","2002-04-01","2001-10-01","JSF","2009-12"
"EMD Contract Award","2001-10-01","2001-10-01","2002-04-01","2001-10-01","JSF","2009-12"
"Preliminary Design Review","2003-04-01","2003-04-01","2003-10-01","2003-04-01","JSF","2009-12"
"Critical Design Review",NA,NA,NA,NA,"JSF","2009-12"
"CDR (CTOL&Common)","2004-04-01","2005-10-01","2006-04-01","2006-02-01","JSF","2009-12"
"CDR (STOVL&Common)","2004-10-01","2006-05-01","2006-11-01","2006-02-01","JSF","2009-12"
"CDR (CV&Common)","2005-07-01","2007-01-01","2007-07-01","2007-06-01","JSF","2009-12"
"DAE (IPR 1)","2005-04-01","2006-01-01","2006-07-01","2006-03-01","JSF","2009-12"
"1st Flt CTOL","2005-11-01","2006-07-01","2007-01-01","2006-12-01","JSF","2009-12"
"1st Flt STOVL","2006-04-01","2008-03-01","2008-09-01","2008-06-01","JSF","2009-12"
"1st Flt CV","2007-01-01","2009-04-01","2009-10-01","MAY 2010 1","JSF","2009-12"
"DAE (IPR 2)","2006-04-01","2007-01-01","2007-07-01","2007-04-01","JSF","2009-12"
"1st Production Aircraft Delivered","N/A","2010-01-01","2010-07-01","OCT 2010 1","JSF","2009-12"
"1st Operational Aircraft Delivered","2008-06-01","N/A","N/A","N/A","JSF","2009-12"
"USMC IOC","2010-04-01","2012-03-01","2012-09-01","2012-03-01","JSF","2009-12"
"USAF IOC","2011-06-01","2013-03-01","2013-09-01","2013-03-01","JSF","2009-12"
"Completed IOT&E","2012-03-01","2013-10-01","2014-04-01","APR 2016 1","JSF","2009-12"
"USN IOC","2012-04-01","2015-03-01","2015-09-01","2015-03-01","JSF","2009-12"
"DAB Milestone C","2012-04-01","2013-10-01","2014-04-01","APR 2016 1","JSF","2009-12"
"APB Breach",NA,NA,NA,NA,"JSF","2009-12"
