"Milestones","SARbaselineDevEst","CurrentAPBobjective","CurrentAPBthreshold","CurrentEstimate","Platform","Source"
"Concept Demonstration Contract Award","1996-11-01","N/A","N/A","1996-11-01","JSF","2010-12"
"Milestone B","2001-10-01","N/A","N/A","2001-10-01","JSF","2010-12"
"EMD Contract Award","2001-10-01","N/A","N/A","2001-10-01","JSF","2010-12"
"Preliminary Design Review","2003-04-01","N/A","N/A","2003-04-01","JSF","2010-12"
"Critical Design Review",NA,NA,NA,NA,"JSF","2010-12"
"CDR (CTOL&Common)","2004-04-01","N/A","N/A","2006-02-01","JSF","2010-12"
"CDR (STOVL&Common)","2004-10-01","N/A","N/A","2006-02-01","JSF","2010-12"
"CDR (CV&Common)","2005-07-01","N/A","N/A","2007-06-01","JSF","2010-12"
"DAE (IPR 1)","2005-04-01","N/A","N/A","2006-03-01","JSF","2010-12"
"1st Flt CTOL","2005-11-01","N/A","N/A","2006-12-01","JSF","2010-12"
"1st Flt STOVL","2006-04-01","N/A","N/A","2008-06-01","JSF","2010-12"
"1st Flt CV","2007-01-01","N/A","N/A","2010-06-01","JSF","2010-12"
"DAE (IPR 2)","2006-04-01","N/A","N/A","2007-04-01","JSF","2010-12"
"1st Production Aircraft Delivered","N/A","N/A","N/A","2011-04-01","JSF","2010-12"
"1st Operational Aircraft Delivered","2008-06-01","N/A","N/A","N/A","JSF","2010-12"
"USMC IOC","2010-04-01","N/A","N/A","TBD","JSF","2010-12"
"USAF IOC","2011-06-01","N/A","N/A","TBD","JSF","2010-12"
"Completed IOT&E","2012-03-01","N/A","N/A","TBD","JSF","2010-12"
"USN IOC","2012-04-01","N/A","N/A","TBD","JSF","2010-12"
"DAB Milestone C","2012-04-01","N/A","N/A","TBD","JSF","2010-12"
