"Milestones","SARbaselineDevEst","CurrentAPBobjective","CurrentAPBthreshold","CurrentEstimate","Platform","Source"
"Concept Demonstration Contract Award","1996-11-01","1996-11-01","1996-11-01","1996-11-01","JSF","2013-12"
"Milestone B","2001-10-01","2001-10-01","2001-10-01","2001-10-01","JSF","2013-12"
"EMD Contract Award","2001-10-01","2001-10-01","2001-10-01","2001-10-01","JSF","2013-12"
"Preliminary Design Review","2003-04-01","2003-04-01","2003-04-01","2003-04-01","JSF","2013-12"
"CDR",NA,NA,NA,NA,"JSF","2013-12"
"CDR (CTOL&Common)","2006-02-01","2006-02-01","2006-02-01","2006-02-01","JSF","2013-12"
"CDR (STOVL&Common)","2006-02-01","2006-02-01","2006-02-01","2006-02-01","JSF","2013-12"
"CDR (CV&Common)","2007-06-01","2007-06-01","2007-06-01","2007-06-01","JSF","2013-12"
"DAE (IPR 1)","2006-03-01","2006-03-01","2006-03-01","2006-03-01","JSF","2013-12"
"1st Flt CTOL","2006-12-01","2006-12-01","2006-12-01","2006-12-01","JSF","2013-12"
"DAE (IPR 2)","2007-04-01","2007-04-01","2007-04-01","2007-04-01","JSF","2013-12"
"1st Flt STOVL","2008-06-01","2008-06-01","2008-06-01","2008-06-01","JSF","2013-12"
"1st Flt CV","2010-06-01","2010-06-01","2010-06-01","2010-06-01","JSF","2013-12"
"1st Production Aircraft Delivered","2011-05-01","2011-05-01","2011-05-01","2011-05-01","JSF","2013-12"
"Milestone B Re-approval","2012-03-01","2012-03-01","2012-03-01","2012-03-01","JSF","2013-12"
"Block 2B Fleet Release","2015-03-01","2015-03-01","2015-09-01","2015-06-01","JSF","2013-12"
"USMC IOC","TBD","TBD","TBD","2015-07-01","JSF","2013-12"
"USAF IOC","TBD","TBD","TBD","2016-08-01","JSF","2013-12"
"Block 3F Fleet Release","2017-08-01","2017-08-01","2018-02-01","2017-08-01","JSF","2013-12"
"USN IOC","TBD","TBD","TBD","2018-08-01","JSF","2013-12"
"Completed IOT&E","2019-02-01","2019-02-01","2019-08-01","2019-02-01","JSF","2013-12"
"Full Rate Production Decision","2019-04-01","2019-04-01","2019-10-01","2019-04-01","JSF","2013-12"
"DAB Milestone C","2019-04-01","2019-04-01","2019-10-01","2019-04-01","JSF","2013-12"
