"","Title","Type","Date","Weekday","Author","Program","Views","Event","Twitter","Facebook","Evening","MailOpens","MailClicks","Block","ISP"
"1","Crowdsourcing Perspectives on Defense Reform","Report",2016-05-16,"Monday","Kathleen Hicks, Colin McElhinny","ISP",671,0,0,"No",2,0,2,"Unknown","ISP"
"2","Kenya’s Dangerous, Vague Alchemy—Refugees and Terror","Commentary",2016-05-17,"Tuesday","J. Stephen Morrison","GHPC",1154,0,3,"No",1,0,4,"Unknown","non-ISP"
"3","Assessing the Final Clean Power Plan","Report",2016-05-17,"Tuesday","John Larsen, Sarah Ladislaw","Energy & National Security",511,0,0,"No",1,2667,402,"Unknown","non-ISP"
"4","U.S. Military Forces in FY 2017","Report",2016-05-17,"Tuesday","Mark Cancian","ISP",1008,0,0,"No",4,0,4,"Unknown","ISP"
"5","Global Development Monitor","Report",2016-05-18,"Wednesday","Conor Savoy","Project on Prosperity and Development",430,3324,1,"No",1,4249,504,"Unknown","non-ISP"
"6","Transformative Innovation for International Development","Report",2016-05-18,"Wednesday","Helen Moser","Project on Prosperity and Development",1360,2098,0,"No",2,8261,189,"Unknown","non-ISP"
"7","Shift in Market Sentiment Supported by Market Fundamentals (at least for now…)","Commentary",2016-05-19,"Thursday","Frank Verrastro, Guy Caruso, et al","Energy & Geopolitics, Energy & National Security",296,0,0,"No",0,305,29,"Unknown","non-ISP"
"8","Dealing Fairly with a Key Ally: Releasing the 28 Pages","Report",2016-05-19,"Thursday","Anthony Cordesman","Burke",1500,0,1,"Yes",0,860,2,"Unknown","non-ISP"
"9","The Food Security Solution","Commentary",2016-05-20,"Friday","Kimberly Flowers","Global Food Security",715,0,0,"No",0,6405,193,"Unknown","non-ISP"
"10","Issues & Insights Vol. 16 - No. 9 - Myanmar-DPRK relations: disarmament and nuclear nonproliferation dimension","Report",2016-05-20,"Friday","Aung Ko Min","Pacific Forum",389,0,0,"No",0,0,0,"Unknown","non-ISP"
"11","Afghanistan: Deciding the Future of the Not Quite “Forgotten War”","Commentary",2016-05-23,"Monday","Anthony Cordesman","Burke",1296,0,3,"Yes",3,0,0,"Unknown","non-ISP"
"12","Perfecting China, Inc.","Report",2016-05-23,"Monday","Scott Kennedy, Christopher K. Johnson","China Studies",3173,2751,1,"No",5,2575,36,"Unknown","non-ISP"
"13","Energy 101: Electricity","Report",2016-05-24,"Tuesday","N/A","Energy & National Security",504,0,0,"No",0,0,0,"Unknown","non-ISP"
"14","What to Make of the Newly Established CyberSecurity Association of China","Commentary",2016-05-25,"Wednesday","Samm Sacks, Robert O'Brien","Strategic Technologies",1339,0,14,"No",0,0,0,"Unknown","non-ISP"
"15","Navigating Gulf Waters After the Iran Nuclear Deal","Report",2016-05-25,"Wednesday","Melissa Dalton","ISP",1813,0,17,"No",0,0,0,"Unknown","ISP"
"16","With a Dozen Economic Reform Packages under His Belt, Indonesia’s Jokowi Settles In","Commentary",2016-05-26,"Thursday","Shannon Hayden","Southeast Asia",648,0,12,"No",1,0,0,"Unknown","non-ISP"
