"Filename","Description","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearBaseMil","EstimateYearOCOmil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","CostToCompleteMil","TotalCostMil","FirstYearInSequence","Platform","Source","BudgetAccount","Section","Account","AllPriorYears"
"SM-3_BLOCK_IIA_2011_FYDPcostOCO.csv","MD09: SM-3 Block IIA Co- Development","0","255.987","318.8","0","318.8",405.5,416.3,"337.3","227.5","Continuing","Continuing",2009,"SM-3 BLOCK IIA",2011,"RDT&E, Defense-Wide, Advances Component Development and Prorotypes (ACD&P)",NA,NA,NA
"SM-3_BLOCK_IIA_2011_FYDPcostOCO.csv","Quantity of RDT&E Articles","0","0","0","0","0",0,0,"0","0",NA,NA,2009,"SM-3 BLOCK IIA",2011,"RDT&E, Defense-Wide, Advances Component Development and Prorotypes (ACD&P)",NA,NA,NA
"SM-3_BLOCK_IIA_2012_FYDPcostOCO.csv","MD09: SM-3 Block IIA Co- Development","247.825","318.8","407.5","-","407.5",343.495,268.447,"196.344","25.156","Continuing","Continuing",2010,"SM-3 BLOCK IIA",2012,"RDT&E, Defense-Wide, Advances Component Development and Prorotypes (ACD&P)",NA,NA,NA
"SM-3_BLOCK_IIA_2012_FYDPcostOCO.csv","Quantity of RDT&E Articles","0","0","0",NA,"0",0,0,"0","0",NA,NA,2010,"SM-3 BLOCK IIA",2012,"RDT&E, Defense-Wide, Advances Component Development and Prorotypes (ACD&P)",NA,NA,NA
"SM-3_BLOCK_IIA_2013_FYDPcostOCO_PE_0604881C_Aegis_SM-3_Block_IIA_Co-Development.csv","Total Program Element","299.767","473.843","420.63","-","420.63",273.926,200.699,"185.007","46.103","Continuing","Continuing",2011,"SM-3 BLOCK IIA",2013,NA,"PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E",NA
"SM-3_BLOCK_IIA_2013_FYDPcostOCO_PE_0604881C_Aegis_SM-3_Block_IIA_Co-Development.csv","MD09: SM-3 Block IIA Co- Development","299.767","456.889","399.284","-","399.284",256.696,183.161,"145.335","33.315","Continuing","Continuing",2011,"SM-3 BLOCK IIA",2013,NA,"PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E",NA
"SM-3_BLOCK_IIA_2013_FYDPcostOCO_PE_0604881C_Aegis_SM-3_Block_IIA_Co-Development.csv","MT09: SM-3 Block IIA Co-Development Test","-","-","-","-","-",3.428,7.759,"30.565","10.454","Continuing","Continuing",2011,"SM-3 BLOCK IIA",2013,NA,"PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E",NA
"SM-3_BLOCK_IIA_2013_FYDPcostOCO_PE_0604881C_Aegis_SM-3_Block_IIA_Co-Development.csv","MD40: Program-Wide Support","-","16.954","21.346","-","21.346",13.802,9.779,"9.107","2.334","Continuing","Continuing",2011,"SM-3 BLOCK IIA",2013,NA,"PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E",NA
"SM-3_BLOCK_IIA_2014_FYDPcostPriorOCO_PE_0604881C_Aegis_SM-3_Block_IIA_Co-Development.csv","Total Program Element","457.529","420.63","308.522","-","308.522",230.466,128.743,"41.014","0","0","2,324.87",NA,"SM-3 BLOCK IIA",2014,NA,"PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E","737.968"
"SM-3_BLOCK_IIA_2014_FYDPcostPriorOCO_PE_0604881C_Aegis_SM-3_Block_IIA_Co-Development.csv","MD09: SM-3 Block IIA Co- Development","441.046","399.284","289.817","-","289.817",211.582,95.892,"25.945","0","0","2,201.53",NA,"SM-3 BLOCK IIA",2014,NA,"PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E","737.968"
