"Filename","CurrentChangeExplanations","BaseYearMil","ThenYearMil","Platform","Source","Section","Account","History","Unit"
"MEADS_Cost_Variance_2013-12_3_CostVarianceDetail_FireUnit.csv","Revised escalation indices (Economic)",NA,"-7","MEADS","2013-12","FireUnit","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_3_CostVarianceDetail_FireUnit.csv","Adjustment for current and prior escalation (Estimating)","5.9","7","MEADS","2013-12","FireUnit","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_3_CostVarianceDetail_FireUnit.csv","Decrease in FY 2013 funding due to Congressional reduction (Estimating)","-43","-52.7","MEADS","2013-12","FireUnit","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_3_CostVarianceDetail_FireUnit.csv","RDT&E","-37.1","-52.7","MEADS","2013-12","FireUnit","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_6_CostVarianceDetail_Missile.csv","Revised escalation indices (Economic)",NA,"-1.1","MEADS","2013-12","Missile","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_6_CostVarianceDetail_Missile.csv","Adjustment for current and prior escalation (Estimating)","0.9","1.1","MEADS","2013-12","Missile","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_6_CostVarianceDetail_Missile.csv","RDT&E Subtotal","0.9","0","MEADS","2013-12","Missile","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_7_CostVarianceDetail_Missile.csv","Revised escalatio indicies (Economic)",NA,"-54.2","MEADS","2013-12","Missile","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_7_CostVarianceDetail_Missile.csv","Stretch-out of procurement buy profile in FY 2020 through FY 2033. (Schedule)","0","93.3","MEADS","2013-12","Missile","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_7_CostVarianceDetail_Missile.csv","Adjustment for current and prior escalation. (Estimating)","4.8","5.8","MEADS","2013-12","Missile","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_7_CostVarianceDetail_Missile.csv","Additional Schedule Variance due to the acceleration of 30 missiles in FY 2014 (procurement changed from 56 to 86 missiles). (Schedule)","-208.2","-255.9","MEADS","2013-12","Missile","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_7_CostVarianceDetail_Missile.csv","Decrease in FY 2013 funding due to Congressional reduction (Estimating)","-3.5","-4.7","MEADS","2013-12","Missile","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_7_CostVarianceDetail_Missile.csv","Adjustment for current and prior escalation. (Support)","0.5","0.8","MEADS","2013-12","Missile","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_7_CostVarianceDetail_Missile.csv","Increase in Other Support due to stretch-out of procurement buy profile (Support)","28.1","51.9","MEADS","2013-12","Missile","RDT&E",NA,NA
"MEADS_Cost_Variance_2013-12_7_CostVarianceDetail_Missile.csv","Procurement Subtotal","-178.3","-163","MEADS","2013-12","Missile","RDT&E",NA,NA
