coloration.key,variable,Label,Display.Order,Color,C,M,Y,K,R,G,B
Overall,Services Contract Spend,Services Contract Spend,1,"Blue, Accent 1",,,,,,,
Overall,Other Services Outlays,Other Services Outlays,2,"Orange, Accent 6",,,,,,,
Overall,Services Contract %,Services Contract %,3,"Blue, Accent 1, Darler 50%",,,,,,,
Overall,Other Outlays %,Other Outlays %,4,"Orange, Accent 6, 40% Darker",,,,,,,
,,,,,,,,,,,
Performance,Terminated,Terminated,1,"Blue, Accent 1",0.9378,0.9378,0,0.1804,13,13,209
Performance,Unterminated,NotTerminated,2,orange,0,0.397,0.986,0.141,219,132,3
,,,,,,,,,,,
Topline,DHS Services Contract Spend,DHS Contract Spending,1,"Blue, Accent 1",0.9378,0.9378,0,0.1804,13,13,209
Topline,Other DHS Outlays,Other DHS Outlays,2,Light Blue Accent 6,0.6696,0.2731,0,0.1098,75,165,227
Topline,Services Contract %,Contract Outlays as Percent of DHS Outlays,3,"Blue, Accent 1, Darler 50%",0.9378,0.9378,0,0.1804,13,13,209
,,,,,,,,,,,
Dollar Type,Contract Obligations,Contract Obligations,1,orange,0,0.397,0.986,0.141,219,132,3
Dollar Type,Contract,Contract,1,orange,0,0.397,0.986,0.141,219,132,3
Dollar Type,Grant Awards,Grant Awards,2,olive green,0.17,0,0.527,0.353,137,165,78
Dollar Type,Grant,Grant,2,olive green,0.17,0,0.527,0.353,137,165,78
Dollar Type,Gross Outlays,Gross Outlays,3,purple,0.21,0.385,0,0.439,113,88,143
Dollar Type,Outlay,Outlay,3,purple,0.21,0.385,0,0.439,113,88,143
Dollar Type,Outlays,Outlays,3,purple,0.21,0.385,0,0.439,113,88,143
Dollar Type,Offset-Financed Outlays,Offset-Financed Outlays,6,red,0,0.588,0.606,0.333,170,70,67
Dollar Type,Outlay Residual,Outlay Residual,6,red,0,0.588,0.606,0.333,170,70,67
Dollar Type,Net Outlays,Net Outlays,5,"Blue, Accent 1",0.9378,0.9378,0,0.1804,13,13,209
Dollar Type,Gross Outlays (Net Outlays+Outlays Financed by Offsets),Gross Outlays (Net Outlays+Outlays Financed by Offsets),7,purple,0.21,0.385,0,0.439,113,88,143
Dollar Type,Other Outlays (Gross Outlays - Contract Obligations - Grant Awards),Other Outlays (Gross Outlays - Contract Obligations - Grant Awards),8,purple,0.21,0.385,0,0.439,113,88,143
Dollar Type,Other Outlays (Contract Obligations - Grant Awards),Other Outlays (Gross Outlays - Contract Obligations),4,purple,0.21,0.385,0,0.439,113,88,143
Dollar Type,Contract Obligations / Gross Outlays,Contract Obligations / Gross Outlays,1,orange,0,0.397,0.986,0.141,219,132,3
Dollar Type,Grant Awards / Gross Outlays,Grant Awards / Gross Outlays,2,olive green,0.17,0,0.527,0.353,137,165,78
,,,,,,,,,,,
PBL,No history [0-3],No history [0-3],1,red,0,0.588,0.606,0.333,170,70,67
PBL,Outer edge [4-5],Outer edge [4-5],2,pink,0,0.3088,0.318,0.149,217,150,148
PBL,Uncommon [6-8],Uncommon [6-8],3,yellow,0,0.247,1,0,255,192,0
PBL,Promising [9-10],Promising [9-10],4,blue,0.587,0.317,0,0.345,69,114,167
PBL,1,1,1,red,0,0.588,0.606,0.333,170,70,67
PBL,2,2,2,red,0,0.588,0.606,0.333,170,70,67
PBL,3,3,3,red,0,0.588,0.606,0.333,170,70,67
PBL,4,4,4,pink,0,0.3088,0.318,0.149,217,150,148
PBL,5,5,5,pink,0,0.3088,0.318,0.149,217,150,148
PBL,6,6,6,yellow,0,0.247,1,0,255,192,0
PBL,7,7,7,yellow,0,0.247,1,0,255,192,0
PBL,8,8,8,yellow,0,0.247,1,0,255,192,0
PBL,9,9,9,blue,0.587,0.317,0,0.345,69,114,167
PBL,10,10,10,blue,0.587,0.317,0,0.345,69,114,167
PBL,Official PBL,Official PBL,1,olive green,0.17,0,0.527,0.353,137,165,78
PBL,Other,Other,2,orange,0,0.397,0.986,0.141,219,132,3
PBL,Not PBL,Not PBL,3,dark gray,0,0,0,0.498,128,128,128
,,,,,,,,,,,
Area,Services (Non-R&D),Services (Non-R&D),1,"Red, Accent 1",0,0.5833,0.599,0.2471,192,80,77
Area,Services (All),Services (All),1,"Red, Accent 1",0,0.5833,0.599,0.2471,192,80,77
Area,All Services,All Services,1,"Red, Accent 1",0,0.5833,0.599,0.2471,192,80,77
Area,PAMS,PAMS,2,teal,0.629,0.131,0,0.314,65,152,175
Area,ICT,ICT,3,blue,0.587,0.317,0,0.345,69,114,167
Area,ERS,ERS,4,red,0,0.588,0.606,0.333,170,70,67
Area,FRS&C,FRS&C,5,olive green,0.17,0,0.527,0.353,137,165,78
Area,MED,MED,7,orange,0,0.397,0.986,0.141,219,132,3
