figure number,figure title,legend name,form,order,which.file,append legend,section.variable,x.variable,x.axis.title,y.variable,y.axis.title,facet.variable,coloration.override.variable,percentage.y.axis.title,data file,file type,section.compare,subset.variable,subset.criteria,Layout Name,wide.section.variable,lookup.series.variable,subset.agency.variable,use.all.agencies
,"Expected Duration of Contracts in Months
by Pricing Mechanism (2000-2013)",,histogram,2,2,FALSE,Overall,UnmodifiedMonths,Initial Period of Performance in Months,,Number of Contracts,IsFixedPrice,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,"Expected Duration of Contracts in Months
by Pricing Mechanism (2000-2013)",,histogram,2,2,FALSE,Overall,CategoryOfUnmodifiedMonths,Initial Period of Performance in Months,,Number of Contracts,IsFixedPrice,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,"Actual Duration of Contracts in Months
by Pricing Mechanism (2000-2013)",,histogram,2,2,FALSE,Overall,CurrentMonths,Final Period of Performance in Months,,Number of Contracts,IsFixedPrice,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,"Actual Duration of Contracts in Months
by Pricing Mechanism (2000-2013)",,histogram,2,2,FALSE,Overall,CategoryOfCurrentMonths,Final Period of Performance in Months,,Number of Contracts,IsFixedPrice,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,"Expected Duration of Contracts in Months
(2000-2013)",,histogram,2,2,FALSE,Overall,UnmodifiedMonths,Initial Period of Performance in Months,,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,"Expected Duration of Contracts in Months
(2000-2013)",,histogram,2,2,FALSE,Overall,CategoryOfUnmodifiedMonths,Initial Period of Performance in Months,,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,"Actual Duration of Contracts in Months
(2000-2013)",,histogram,2,2,FALSE,Overall,CurrentMonths,Final Period of Performance in Months,,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,"Actual Duration of Contracts in Months
(2000-2013)",,histogram,2,2,FALSE,Overall,CategoryOfCurrentMonths,Final Period of Performance in Months,,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,
2.01,"Number of Terminated Contracts
by Pricing Mechanism (2000-2013)",,histogram,2,2,FALSE,Overall,IsTerminated,Termination Category,,Number of Contracts,IsFixedPrice,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
