systemequipmentcode,Unseperated,systemequipmentcodeText,systemequipmentshorttext,SystemEquipmentIn2000Sample,SystemEquipmentIn2007Sample
 , : ,NOT DISCERNABLE OR CLASSIFIED,Unlabeled,FALSE,FALSE
* ,* : ,NOT DISCERNABLE OR CLASSIFIED,Unlabeled,FALSE,FALSE
: ,: ,****** : ,****** : ,FALSE,FALSE
0*,NULL,NOT DISCERNABLE OR CLASSIFIED,Unlabeled,FALSE,FALSE
0,0000: ,NOT DISCERNABLE OR CLASSIFIED,Unlabeled,FALSE,FALSE
000,0000: ,NOT DISCERNABLE OR CLASSIFIED,Unlabeled,FALSE,FALSE
0000,0000: ,NOT DISCERNABLE OR CLASSIFIED,Unlabeled,FALSE,FALSE
100,100: GPALS (SDS) ,GPALS (SDS) ,GPALS (SDS) ,FALSE,FALSE
1000,1000:00:00,NOT DISCERNABLE OR CLASSIFIED,Unlabeled,FALSE,FALSE
101,101: H-1 UPGRADE ,H-1 UPGRADE ,H-1 UPGRADE ,FALSE,FALSE
102,102: A-10 ,A-10 ,A-10 ,FALSE,FALSE
103,103: E-3A ,E-3A ,E-3A ,FALSE,FALSE
104,104: EF-111A ,EF-111A ,EF-111A ,FALSE,FALSE
105,105: AN/BQS-13 ,AN/BQS-13 ,AN/BQS-13 ,FALSE,FALSE
106,106: PATRIOT ,PATRIOT ,PATRIOT ,FALSE,FALSE
107,107: PERSHING II ,PERSHING II ,PERSHING II ,FALSE,FALSE
108,108: LASER HELLFIRE ,LASER HELLFIRE ,LASER HELLFIRE ,FALSE,FALSE
109,109: 5-INCH GUIDED PROJ ,5-INCH GUIDED PROJ ,5-INCH GUIDED PROJ ,FALSE,FALSE
110,110: AEGIS ,AEGIS ,AEGIS ,FALSE,FALSE
111,111: ALCM ,ALCM ,ALCM ,FALSE,FALSE
112,112: AN/TTC-39 ,AN/TTC-39 ,AN/TTC-39 ,FALSE,FALSE
114,114: CGN-38 ,CGN-38 ,CGN-38 ,FALSE,FALSE
115,115: CH-47D ,CH-47D ,CH-47D ,FALSE,FALSE
116,116: C/MH-53E ,C/MH-53E ,C/MH-53E ,FALSE,FALSE
117,117: CHEYENNE ,CHEYENNE ,CHEYENNE ,FALSE,FALSE
119,119: SGT YORK GUN (DIVAD) ,SGT YORK GUN (DIVAD) ,SGT YORK GUN (DIVAD) ,FALSE,FALSE
120,120: DSCS III ,DSCS III ,DSCS III ,FALSE,FALSE
121,121: APS ,APS ,APS ,FALSE,FALSE
122,122: E-4 (AABNCP) ,E-4 (AABNCP) ,E-4 (AABNCP) ,FALSE,FALSE
123,123: F-14D ,F-14D ,F-14D ,FALSE,FALSE
124,124: F-15 ,F-15 ,F-15 ,FALSE,FALSE
125,125: F-16 ,F-16 ,F-16 ,FALSE,FALSE
126,126: F/A-18A/B/C/D ,F/A-18A/B/C/D ,F/A-18A/B/C/D ,FALSE,FALSE
127,127: FFG-7 ,FFG-7 ,FFG-7 ,FALSE,FALSE
128,128: BRADLEY FVS ,BRADLEY FVS ,BRADLEY FVS ,FALSE,FALSE
130,130: MLRS ,MLRS ,MLRS ,FALSE,FALSE
131,131: HARM (NAVY) ,HARM (NAVY) ,HARM (NAVY) ,FALSE,FALSE
132,132: HARM (AIR FORCE) ,HARM (AIR FORCE) ,HARM (AIR FORCE) ,FALSE,FALSE
133,133: HARPOON ,HARPOON ,HARPOON ,FALSE,FALSE
134,134: LAMPS MKIII (SH-60B) ,LAMPS MKIII (SH-60B) ,LAMPS MKIII (SH-60B) ,FALSE,FALSE
135,135: LHA ,LHA ,LHA ,FALSE,FALSE
136,136: M198 TOWED HOWITZER (155MM) ,M198 TOWED HOWITZER (155MM) ,M198 TOWED HOWITZER (155MM) ,FALSE,FALSE
137,137: MAVERICK (IR) ,MAVERICK (IR) ,MAVERICK (IR) ,FALSE,FALSE
138,138: MK 48 ADCAP ,MK 48 ADCAP ,MK 48 ADCAP ,FALSE,FALSE
139,139: MK 48 TORPEDO ,MK 48 TORPEDO ,MK 48 TORPEDO ,FALSE,FALSE
140,140: DD 963 ,DD 963 ,DD 963 ,FALSE,FALSE
141,141: NATO PHM ,NATO PHM ,NATO PHM ,FALSE,FALSE
142,142: PHOENIX (AIM-54A/B) ,PHOENIX (AIM-54A/B) ,PHOENIX (AIM-54A/B) ,FALSE,FALSE
144,144: SIDEWINDER (AIM-9L) (N) ,SIDEWINDER (AIM-9L) (N) ,SIDEWINDER (AIM-9L) (N) ,FALSE,FALSE
145,145: SIDEWINDER (AIM-9L) (AF) ,SIDEWINDER (AIM-9L) (AF) ,SIDEWINDER (AIM-9L) (AF) ,FALSE,FALSE
147,147: SPARROW (AIM-7M) (N) ,SPARROW (AIM-7M) (N) ,SPARROW (AIM-7M) (N) ,FALSE,FALSE
148,148: PATRIOT PAC-3 ,PATRIOT PAC-3 ,PATRIOT PAC-3 ,FALSE,FALSE
149,149: SSN 688 ,SSN 688 ,SSN 688 ,FALSE,FALSE
150,150: STINGER ,STINGER ,STINGER ,FALSE,FALSE
151,151: SURTASS ,SURTASS ,SURTASS ,FALSE,FALSE
152,152: TACFIRE ,TACFIRE ,TACFIRE ,FALSE,FALSE
153,153: AN/SQQ-89 ,AN/SQQ-89 ,AN/SQQ-89 ,FALSE,FALSE
154,154: TOMAHAWK ,TOMAHAWK ,TOMAHAWK ,FALSE,FALSE
155,155: TRIDENT SUB ,TRIDENT SUB ,TRIDENT SUB ,FALSE,FALSE
156,156: BLACK HAWK (UH-60A/L) ,BLACK HAWK (UH-60A/L) ,BLACK HAWK (UH-60A/L) ,FALSE,FALSE
157,157: M1/M1A1 ABRAMS TANK ,M1/M1A1 ABRAMS TANK ,M1/M1A1 ABRAMS TANK ,FALSE,FALSE
158,158: APACHE (AH-64A) ,APACHE (AH-64A) ,APACHE (AH-64A) ,FALSE,FALSE
159,159: CG-47 ,CG-47 ,CG-47 ,FALSE,FALSE
160,160: TACTAS ,TACTAS ,TACTAS ,FALSE,FALSE
161,161: CVN 68 ,CVN 68 ,CVN 68 ,FALSE,FALSE
162,162: SIDWINGER (AIM-9M) (N) ,SIDWINGER (AIM-9M) (N) ,SIDWINGER (AIM-9M) (N) ,FALSE,FALSE
163,163: SIDWINGER (AIM-9M) (AF) ,SIDWINGER (AIM-9M) (AF) ,SIDWINGER (AIM-9M) (AF) ,FALSE,FALSE
164,164: SPARROW (AIM-7F) (N) ,SPARROW (AIM-7F) (N) ,SPARROW (AIM-7F) (N) ,FALSE,FALSE
165,165: SPARROW (AIM-7M) (AF) ,SPARROW (AIM-7M) (AF) ,SPARROW (AIM-7M) (AF) ,FALSE,FALSE
166,166: NAVSTAR GPS,NAVSTAR GPS,NAVSTAR GPS,FALSE,FALSE
167,167: AV-8B ,AV-8B ,AV-8B ,FALSE,FALSE
168,168: B1-B ,B1-B ,B1-B ,FALSE,FALSE
169,169: PHOENIX (AIM-54C) ,PHOENIX (AIM-54C) ,PHOENIX (AIM-54C) ,FALSE,FALSE
170,170: JTIDS (ARMY) ,JTIDS (ARMY) ,JTIDS (ARMY) ,FALSE,FALSE
171,171: JTIDS (NAVY) ,JTIDS (NAVY) ,JTIDS (NAVY) ,FALSE,FALSE
172,172: JTIDY (AIR FORCE) ,JTIDY (AIR FORCE) ,JTIDY (AIR FORCE) ,FALSE,FALSE
173,173: BMTC ,BMTC ,BMTC ,FALSE,FALSE
174,174: KIOWA WARRIOR ,KIOWA WARRIOR ,KIOWA WARRIOR ,FALSE,FALSE
175,175: LAV (ARMY) ,LAV (ARMY) ,LAV (ARMY) ,FALSE,FALSE
176,176: EELV ,EELV ,EELV ,FALSE,FALSE
177,177: TRIDENT II SUB ,TRIDENT II SUB ,TRIDENT II SUB ,FALSE,FALSE
178,178: TRIDENT II MISSILE ,TRIDENT II MISSILE ,TRIDENT II MISSILE ,FALSE,FALSE
179,179: ARH ,ARH ,ARH ,FALSE,FALSE
180,180: DDG 51 ,DDG 51 ,DDG 51 ,TRUE,TRUE
181,181: KC-135R ,KC-135R ,KC-135R ,FALSE,FALSE
182,182: LUH ,LUH ,LUH ,FALSE,FALSE
183,183: FCA ,FCA ,FCA ,FALSE,FALSE
184,184: AMRAAM (NAVY) ,AMRAAM (NAVY) ,AMRAAM (NAVY) ,FALSE,FALSE
185,185: AMRAAM ,AMRAAM ,AMRAAM ,FALSE,FALSE
187,187: LANTRIN ,LANTRIN ,LANTRIN ,FALSE,FALSE
