Vehicle,Vehicle.detail,Vehicle.sum,Vehicle.IDVorAward,Vehicle.Graph
BASIC ORDERING AGREEMENT,Other IDV,Other IDV,IDV,TRUE
BLANKET PURCHASE AGREEMENT,BPA,BPA,IDV,TRUE
BPA,BPA,BPA,IDV,TRUE
BPA FSS OR OTHER IDV,Other IDV,Other IDV,IDV,TRUE
DEFINITIVE CONTRACT,Definitive,Definitive,Award,TRUE
DELIVERY ORDER,Unlbd. IDV,Unlbd. IDV,IDV,FALSE
FEDERAL SUPPLY SCHEDULE,FSS,FSS,IDV,TRUE
FSS,FSS,FSS,IDV,TRUE
FSS OR OTHER IDV,Other IDV,Other IDV,IDV,TRUE
GOVERNMENT WIDE ACQUISITION CONTRACT,Other IDV,Other IDV,IDV,TRUE
MODIFIED DEFINITIVE CONTRACT,Definitive,Definitive,Award,TRUE
MULTIPLE AWARD IDC,Multi-Awd.,Multi-Awd.,IDV,TRUE
MULTIPLE AWARD INDEFINITE DELIVERY CONTRACT,Multi-Awd.,Multi-Awd.,IDV,TRUE
PURCHASE ORDER,Pur. Order,Pur. Order,Award,TRUE
SINGLE AWARD IDC,Single-Awd.,Single-Awd.,IDV,TRUE
LETTER CONTRACT,Letter Contract,Letter Contract,IDV,TRUE
SINGLE AWARD INDEFINITE DELIVERY CONTRACT,Single-Awd.,Single-Awd.,IDV,TRUE
UNLABELED AWARD,Unlbd. Awd.,Unlbd. Awd.,Award,TRUE
UNLABELED IDV,Unlbd. IDV,Unlbd. IDV,IDV,FALSE
UNLABELED INDEFINITE DELIVERY CONTRACT,Unlbd. IDV,Unlbd. IDV,IDV,FALSE
UNMODIFIED DEFINITIVE CONTRACT,Definitive,Definitive,,TRUE
UNLABELED,Unlabeled,Unlabeled,,TRUE
