Award.or.IDV.Type,IDV.Part.8.Or.Part.13,IDV.Multiple.Or.Single.Award.IDV,IDV.Type,Key,Competed.Criteria
FSS,N/A ,,,FSS-N/A --,Unlisted
BOA,N/A,,,BOA-N/A--,Unlisted
BPA,N/A,,,BPA-N/A--,Unlisted
BPA CALL,PART13,M,BPA,BPA CALL-PART13-M-BPA,Extent Competed
BPA CALL,PART13,S,BPA,BPA CALL-PART13-S-BPA,Extent Competed
BPA CALL,PART8,M,BPA,BPA CALL-PART8-M-BPA,Fair Opportunity
BPA CALL,PART8,S,BPA,BPA CALL-PART8-S-BPA,Fair Opportunity
BPA CALL,PART8,,BPA,BPA CALL-PART8--BPA,Unlisted
BPA CALL,,S,IDC ,BPA CALL--S-IDC ,Unlisted
DEFINITIVE CONTRACT,,,,DEFINITIVE CONTRACT---,Extent Competed
DELIVERY ORDER,PART13,S,BPA,DELIVERY ORDER-PART13-S-BPA,Extent Competed
DELIVERY ORDER,PART13,,BPA,DELIVERY ORDER-PART13--BPA,Extent Competed
DELIVERY ORDER,PART8,S,BPA,DELIVERY ORDER-PART8-S-BPA,Extent Competed
DELIVERY ORDER,PART8,,BPA,DELIVERY ORDER-PART8--BPA,Unlisted
DELIVERY ORDER,,M,BOA,DELIVERY ORDER--M-BOA,Unlisted
DELIVERY ORDER,,M,FSS,DELIVERY ORDER--M-FSS,Fair Opportunity
DELIVERY ORDER,,M,GWAC,DELIVERY ORDER--M-GWAC,Fair Opportunity
DELIVERY ORDER,,M,IDC,DELIVERY ORDER--M-IDC,Fair Opportunity
DELIVERY ORDER,,S,BOA,DELIVERY ORDER--S-BOA,Extent Competed
DELIVERY ORDER,,S,IDC,DELIVERY ORDER--S-IDC,Extent Competed
DELIVERY ORDER,,,BOA,DELIVERY ORDER---BOA,Unlisted
DELIVERY ORDER,,,IDC,DELIVERY ORDER---IDC,Unlisted
DELIVERY ORDER,,,,DELIVERY ORDER---,Unlisted
IDC,N/A,,,IDC-N/A--,Extent Competed
PURCHASE ORDER,,,,PURCHASE ORDER---,Extent Competed
