Contracting.Department.ID,Contracting.Agency.ID,Contracting.Agency.Name,CSIS.Name,Summarized.Agency,SubCustomer,Customer
,,Blank,,ERROR,ERROR,ERROR
10,10,"SENATE, THE",,,All other Customers,Other Agencies
1000,1000,THE JUDICIAL BRANCH,,,All other Customers,Other Agencies
1001,1001,SUPREME COURT OF THE UNITED STATES,,,All other Customers,Other Agencies
1002,1002,U.S. COURTS OF APPEALS-JUDICIAL CIRCUITS (EXCEPT FED CIR),,,All other Customers,Other Agencies
1003,1003,U.S. COURT OF APPEALS FOR THE FEDERAL CIRCUIT,,,All other Customers,Other Agencies
1004,1004,U.S. COURT OF INTERNATIONAL TRADE,,,All other Customers,Other Agencies
1005,1005,U.S. CLAIMS COURT,,,All other Customers,Other Agencies
1012,1012,U.S. DISTRICT AND TERRITORIAL COURTS,,,All other Customers,Other Agencies
1018,1018,JUDICIAL PANEL ON MULTIDISTRICT LITIGATION,,,All other Customers,Other Agencies
1019,1019,TEMPORARY EMERGENCY COURT OF APPEALS,,,All other Customers,Other Agencies
1021,1021,BANKRUPTCY COURTS,,,All other Customers,Other Agencies
1023,1023,FEDERAL PUBLIC DEFENDERS,,,All other Customers,Other Agencies
1025,1025,COURT SECURITY,,,All other Customers,Other Agencies
1027,1027,ADMINISTRATIVE OFFICE OF THE U.S. COURTS,,,All other Customers,Other Agencies
1028,1028,FEDERAL JUDICIAL CENTER,,,All other Customers,Other Agencies
1037,1037,SPECIAL RAIL REORGANIZATION COURT,,,All other Customers,Other Agencies
1001,1050,CHIEF JUSITCE OF THE UNITED STATES,,,Supreme Court,Other Agencies
1001,1051,ASSOCIATE JUSTICES OF THE SUPREME COURT,,,Supreme Court,Other Agencies
1001,1059,"SUPREME COURT, EXCEPT JUSTICES",,,Supreme Court,Other Agencies
1001,1060,JUDICIAL CONFERENCE OF THE UNITED STATES,,,Supreme Court,Other Agencies
1100,1100,EXECUTIVE OFFICE OF THE PRESIDENT,,,Exec Office,Other Agencies
1100,1101,PRESIDENT OF THE UNITED STATES,,,Exec Office,Other Agencies
1100,1102,NATIONAL SECURITY COUNCIL,,,Exec Office,Other Agencies
1100,1103,OFFICE OF MANAGEMENT AND BUDGET,,,Exec Office,Other Agencies
1100,1105,OFFICE OF ADMINISTRATION,,,Exec Office,Other Agencies
1100,1109,OFFICE OF THE UNITED STATES TRADE REPRESENTATIVE,,,Exec Office,Other Agencies
1100,1110,OFFICE OF POLICY DEVELOPMENT,,,Exec Office,Other Agencies
1100,1112,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,,,Exec Office,Other Agencies
1100,1113,COUNCIL OF ECONOMIC ADVISORS,,,Exec Office,Other Agencies
1100,1117,WHITE HOUSE OFFICE,,,Exec Office,Other Agencies
1100,1118,EXECUTIVE RESIDENCE AT THE WHITE HOUSE,,,Exec Office,Other Agencies
1100,1119,COUNCIL ON ENVIRONMENTAL QUALITY,,,Exec Office,Other Agencies
1100,1120,NATIONAL CRITICAL MATERIALS COUNCIL,,,Exec Office,Other Agencies
1100,1121,"DIRECTOR, OMB",,,Exec Office,Other Agencies
1100,1123,WHITE HOUSE CONFERENCE ON INDIAN EDUCATION,,,Exec Office,Other Agencies
1100,1127,OFFICE OF THE NATIONAL DRUG CONTROL POLICY,,,Exec Office,Other Agencies
1100,1129,"OMB, EXCEPT DIRECTOR",,,Exec Office,Other Agencies
1100,1130,NATIONAL SPACE COUNCIL,,,Exec Office,Other Agencies
1100,1141,AFRICAN DEVELOPMENT FOUNDATION,,,Exec Office,Other Agencies
1100,1143,INTER-AMERICAN FOUNDATION,,,Exec Office,Other Agencies
1100,1145,PEACE CORPS,,,Exec Office,Other Agencies
1100,1148,OFFICE OF HOMELAND SECURITY,,,Exec Office,Other Agencies
1100,1150,INTL DEVELOPMENT COOPERATION AGENCY (EXCLUDES OPIC),,,Exec Office,Other Agencies
1100,1151,"OFFICE OF THE DIRECTOR, IDCA",,,Exec Office,Other Agencies
1152,1152,AGENCY FOR INTERNATIONAL DEVELOPMENT,,,Exec Office,Other Agencies
1153,1153,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,Exec Office,Other Agencies
1100,1160,OFFICE OF THE VICE PRESIDENT OF THE UNITED STATES,,,Exec Office,Other Agencies
1100,1162,DEVELOPMENT COORDINATION COMMITTEE,,,Exec Office,Other Agencies
1100,11CA,WEST AFRICAN RICE DEVELOPMENT ASSOCIATION,,,Exec Office,Other Agencies
1100,11DA,INTERNATIONAL DEVELOPMENT ASSOCIATION,,,Exec Office,Other Agencies
1100,11DB,AFRICAN DEVELOPMENT FUND,,,Exec Office,Other Agencies
1100,11DE,ASIAN DEVELOPMENT BANK,,,Exec Office,Other Agencies
1100,11DF,INTERNATIONAL FINANCE CORPORATION,,,Exec Office,Other Agencies
1100,11DG,INTERNATIONAL FUND FOR AGRICULTURAL DEVELOPMENT,,,Exec Office,Other Agencies
1100,11DH,INTER-AMERICAN DEVELOPMENT BANK,,,Exec Office,Other Agencies
1100,11DM,INTERNATIONAL MONETARY FUND,,,Exec Office,Other Agencies
1100,11DR,INTERNATL BANK FOR RECONSTRUCTION & DEV (WORLD BANK),,,Exec Office,Other Agencies
1100,11EA,CONSULTATIVE GROUP ON INTERNATIONAL AGRICULTURAL RESEARCH,,,Exec Office,Other Agencies
1100,11RF,MULTINATIONAL FORCE AND OBSERVERS,,,Exec Office,Other Agencies
1100,11TE,CONVNTN ON INTERNATL TRD IN ENDANGERED SPECIES OF WILD FAUN,,,Exec Office,Other Agencies
1200,1200,"AGRICULTURE, DEPARTMENT OF",,,Agriculture,Other Agencies
1200,1201,IMMEDIATE OFFICE OF THE SECRETARY OF AGRICULTURE,,,Agriculture,Other Agencies
1200,1203,OFFICE OF THE GENERAL COUNSEL,,,Agriculture,Other Agencies
1200,1204,OFFICE OF INSPECTOR GENERAL,,,Agriculture,Other Agencies
1200,1205,OFFICE OF THE CHIEF FINANCIAL OFFICER,,,Agriculture,Other Agencies
1200,1208,OFFICE OF COMMUNICATIONS,,,Agriculture,Other Agencies
1200,120A,ADMINISTRATION,,,Agriculture,Other Agencies
1200,1215,OFFICE OF OPERATIONS,,,Agriculture,Other Agencies
1200,1217,OFFICE OF FINANCE AND MANAGEMENT,,,Agriculture,Other Agencies
1200,1220,AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE,,,Agriculture,Other Agencies
1200,1222,FEDERAL CROP INSURANCE CORPORATION,,,Agriculture,Other Agencies
1200,1223,FOREIGN AGRICULTURAL SERVICE,,,Agriculture,Other Agencies
1200,1224,OFFICE OF INTERNATIONAL COOPERATION AND DEVELOPMENT,,,Agriculture,Other Agencies
9514,1226,FOREST SERVICE,,,Agriculture,Other Agencies
1200,1227,SOIL CONSERVATION SERVICE,,,Agriculture,Other Agencies
1200,1230,"At one time, Agricultural Research Service",,,Agriculture,Other Agencies
9568,1232,EXTENSION,,,Agriculture,Other Agencies
1200,1236,"At one time, Farmers Home Administration",,,Agriculture,Other Agencies
1200,1237,RURAL ELECTRIFICATION ADMINISTRATION,,,Agriculture,Other Agencies
1200,1241,AGRICULTURAL MARKETING SERVICE,,,Agriculture,Other Agencies
1200,1242,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,,,Agriculture,Other Agencies
1200,1251,FOOD AND NUTRITION SERVICE,,,Agriculture,Other Agencies
1200,1252,FOOD SAFETY AND INSPECTION SERVICE,,,Agriculture,Other Agencies
1200,1259,ECONOMICS MANAGEMENT STAFF,,,Agriculture,Other Agencies
1200,1260,COMMODITY CREDIT CORPORATION,,,Agriculture,Other Agencies
1200,1266,ERROR,,,ERROR,ERROR
1200,12A0,OFFICE OF EXECUTIVE OPERATIONS,,,Agriculture,Other Agencies
1200,12A2,OFFICE OF EXECUTIVE SECRETARIAT,,,Agriculture,Other Agencies
1200,12A4,"USDA, HOMELAND SECURITY",,,Agriculture,Other Agencies
1200,12A5,OFFICE OF THE CHIEF ECONOMIST,,,Agriculture,Other Agencies
1200,12A6,OFFICE OF BUDGET AND PROGRAM ANALYSIS,,,Agriculture,Other Agencies
1200,12A7,OFFICE OF THE CHIEF INFORMATION OFFICER,,,Agriculture,Other Agencies
1200,12A8,OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION,,,Agriculture,Other Agencies
1200,12A9,NATIONAL APPEALS DIVISION,,,Agriculture,Other Agencies
1200,12B0,ASSISTANT SECRETARY FOR ADMINISTRATION,,,Agriculture,Other Agencies
1200,12B1,"USDA, OFFICE OF SECURITY SERVICES",,,Agriculture,Other Agencies
1200,12B2,OFFICE OF CIVIL RIGHTS,,,Agriculture,Other Agencies
1200,12B3,OFFICE OF PROCUREMENT AND PROPERTY MANAGEMENT,,,Agriculture,Other Agencies
1200,12B4,OFFICE OF OPERATIONS,,,Agriculture,Other Agencies
1200,12B5,OFFICE OF HUMAN RESOURCES MANAGEMENT,,,Agriculture,Other Agencies
1200,12B6,OFFICE OF ADMINISTRATIVE LAW JUDGE,,,Agriculture,Other Agencies
1200,12B7,OFFICE OF THE JUDICIAL OFFICER,,,Agriculture,Other Agencies
1200,12B8,BOARD OF CONTRACT APPEALS,,,Agriculture,Other Agencies
1200,12B9,"POLICY, ANALYSIS, AND COORDINATION CENTER",,,Agriculture,Other Agencies
1200,12BA,MANAGEMENT SUPPORT STAFF,,,Agriculture,Other Agencies
1200,12BB,OFFICE OF OUTREACH,,,Agriculture,Other Agencies
1200,12BC,OFFICE OF ADMINISTRATIVE SUPPORT,,,Agriculture,Other Agencies
1200,12BD,OFFICE OF ETHICS,,,Agriculture,Other Agencies
1200,12C0,UNDER SECRETARY FOR NATURAL RESOURCES AND ENVIRONMENT,,,Agriculture,Other Agencies
1200,12C2,FOREST SERVICE,,,Agriculture,Other Agencies
1200,12C3,NATURAL RESOURCES CONSERVATION SERVICE,,,Agriculture,Other Agencies
1200,12D0,UNDER SECRETARY FOR FARM AND FOREIGN AGRICULTURAL SERVICES,,,Agriculture,Other Agencies
1200,12D2,FARM SERVICE AGENCY,,,Agriculture,Other Agencies
1200,12D3,FOREIGN AGRICULTURAL SERVICE,,,Agriculture,Other Agencies
1200,12D4,RISK MANAGEMENT AGENCY,,,Agriculture,Other Agencies
1200,12E1,UNDER SECRETARY FOR RURAL DEVELOPMENT,,,Agriculture,Other Agencies
1200,12E2,"AGRICULTURE, DEPARTMENT OF",,,Agriculture,Other Agencies
1200,12E3,"AGRICULTURE, DEPARTMENT OF",,,Agriculture,Other Agencies
1200,12E4,"AGRICULTURE, DEPARTMENT OF",,,Agriculture,Other Agencies
1200,12E5,RURAL BUSINESS COOPERATIVE SERVICE,,,Agriculture,Other Agencies
1200,12E6,ALTERNATIVE AGRICULTURAL RESEARCH AND COMMERCIALIZATION CENTER,,,Agriculture,Other Agencies
1200,12E7,"AGRICULTURE, DEPARTMENT OF",,,Agriculture,Other Agencies
1200,12F0,"UNDER SECRETARY FOR FOOD, NUTRITION, AND CONSUMER SERVICES",,,Agriculture,Other Agencies
1200,12F2,FOOD AND NUTRITION SERVICE,,,Agriculture,Other Agencies
1200,12F3,CENTER FOR NUTRITION POLICY AND PROMOTION,,,Agriculture,Other Agencies
1200,12G0,UNDER SECRETARY FOR FOOD SAFETY,,,Agriculture,Other Agencies
1200,12G2,FOOD SAFETY AND INSPECTION SERVICE,,,Agriculture,Other Agencies
1200,12H0,"UNDER SECRETARY FOR RESEARCH, EDUCATION, AND ECONOMICS",,,Agriculture,Other Agencies
1200,12H2,AGRICULTURAL RESEARCH SERVICE,,,Agriculture,Other Agencies
1200,12H3,"COOPERATIVE STATE RESEARCH, EDUCATION, AND EXTENSION SERVICE",,,Agriculture,Other Agencies
1200,12H4,ECONOMIC RESEARCH SERVICE,,,Agriculture,Other Agencies
1200,12H5,NATIONAL AGRICULTURAL STATISTICS SERVICE,,,Agriculture,Other Agencies
1200,12J0,ASSISTANT SECRETARY FOR CONGRESSIONAL RELATIONS,,,Agriculture,Other Agencies
1200,12J2,OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL RELATIONS,,,Agriculture,Other Agencies
1200,12K0,ASSISTANT SECRETARY FOR MARKETING AND REGULATORY PROGRAMS,,,Agriculture,Other Agencies
1200,12K2,AGRICULTURAL MARKETING SERVICE,,,Agriculture,Other Agencies
1200,12K3,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,,,Agriculture,Other Agencies
