Contracting.Agency.Name,variable.detail,variable.sum
DEPT OF THE ARMY,Army,Army
DEPT OF THE NAVY,Navy,Navy
DEPT OF THE AIR FORCE,Air Force,Air Force
DEFENSE LOGISTICS AGENCY,DLA,DLA
TRICARE MANAGEMENT ACTIVITY (TMA),Remaining DoD Agencies,TMA*
USTRANSCOM,Remaining DoD Agencies,Other
DEFENSE COMMISSARY AGENCY (DECA),Remaining DoD Agencies,DeCA
MISSILE DEFENSE AGENCY (MDA),Remaining DoD Agencies,MDA
DEFENSE INFORMATION SYSTEMS AGENCY (DISA),Remaining DoD Agencies,DISA
U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,Remaining DoD Agencies,Other
U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),Remaining DoD Agencies,USSOCOM
"Civilian Health and Medical Program of the Uniformed Services, Office of the",Remaining DoD Agencies,TMA*
NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),Remaining DoD Agencies,Other
VIRGINIA CONTRACTING AGENCY,Remaining DoD Agencies,Other
DEFENSE ADVANCED RESEARCH PROJECTS AGENCY (DARPA),Remaining DoD Agencies,Other
WASHINGTON HEADQUARTERS SERVICES (WHS),Remaining DoD Agencies,Other
DEFENSE THREAT REDUCTION AGENCY (DTRA),Remaining DoD Agencies,Other
DEFENSE MICROELECTRONICS ACTIVITY (DMEA),Remaining DoD Agencies,Other
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),Remaining DoD Agencies,Other
DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),Remaining DoD Agencies,Other
DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),Remaining DoD Agencies,Other
DEFENSE MEDIA CENTER (DMC),Remaining DoD Agencies,Other
DEPT OF DEFENSE,Remaining DoD Agencies,Other
BUSINESS TRANSFORMATION AGENCY,Remaining DoD Agencies,Other
DEFENSE SECURITY SERVICE,Remaining DoD Agencies,Other
DEFENSE HUMAN RESOURCES ACTIVITY,Remaining DoD Agencies,Other
DEFENSE SECURITY COOPERATION AGENCY,Remaining DoD Agencies,Other
UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES (USUHS),Remaining DoD Agencies,Other
ON SITE INSPECTION AGENCY,Remaining DoD Agencies,Other
AFRRI,Remaining DoD Agencies,Other
IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE,Remaining DoD Agencies,Other
