Customer,Customer.detail,Customer.sum,Is.Defense
Defense,Defense,Defense,1
Energy,Energy,Energy,0
GSA,GSA,GSA,0
NASA,NASA,NASA,0
HHS,HHS,HHS,0
State and USAID,State and USAID,State and USAID,0
DHS,DHS,DHS,0
Other Agencies,Other Agencies,Other Agencies,0
Unlabeled Customer,Unlabeled Customer,Unlabeled,
Army,Army,Army,1
Navy,Navy,Navy,1
Air Force,Air Force,Air Force,1
DLA,DLA,DLA,1
Other DoD,Other DoD,Other DoD,1
CBP,CBP,CBP,0
Coast Guard,Coast Guard,Coast Guard,0
TSA,TSA,TSA,0
OSEC,OSEC,OSEC,0
FEMA,FEMA,FEMA,0
ICE,ICE,ICE,0
Other DHS,Other DHS,Other DHS,0
State,State,State,0
USAID,USAID,USAID,0
IAP,IAP,IAP,0
State and IAP,State and IAP,State and IAP,0
