"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","4531.4","11999.1","--","16530.5","Base Year 2004 $M","MEADS","2013-12","FireUnit",NA
"Economic","--","--","--","--","Base Year 2004 $M","MEADS","2013-12","FireUnit","Previous Changes"
"Quantity","--","-8875.5","--","-8875.5","Base Year 2004 $M","MEADS","2013-12","FireUnit","Previous Changes"
"Schedule","--","-148","--","-148","Base Year 2004 $M","MEADS","2013-12","FireUnit","Previous Changes"
"Engineering","--","--","--","--","Base Year 2004 $M","MEADS","2013-12","FireUnit","Previous Changes"
"Estimating","-1785.5","-795.4","--","-2580.9","Base Year 2004 $M","MEADS","2013-12","FireUnit","Previous Changes"
"Other","--","--","--","--","Base Year 2004 $M","MEADS","2013-12","FireUnit","Previous Changes"
"Support","--","-2180.2","--","-2180","Base Year 2004 $M","MEADS","2013-12","FireUnit","Previous Changes"
"Subtotal","-1785.5","-11999.1","--","-13784.6","Base Year 2004 $M","MEADS","2013-12","FireUnit","Previous Changes"
"Economic","--","--","--","--","Base Year 2004 $M","MEADS","2013-12","FireUnit","Current Changes"
"Quantity","--","--","--","--","Base Year 2004 $M","MEADS","2013-12","FireUnit","Current Changes"
"Schedule","--","--","--","--","Base Year 2004 $M","MEADS","2013-12","FireUnit","Current Changes"
"Engineering","--","--","--","--","Base Year 2004 $M","MEADS","2013-12","FireUnit","Current Changes"
"Estimating","-37.1","--","--","-37.1","Base Year 2004 $M","MEADS","2013-12","FireUnit","Current Changes"
"Other","--","--","--","--","Base Year 2004 $M","MEADS","2013-12","FireUnit","Current Changes"
"Support","--","--","--","--","Base Year 2004 $M","MEADS","2013-12","FireUnit","Current Changes"
"Subtotal","-37.1","--","--","-37.1","Base Year 2004 $M","MEADS","2013-12","FireUnit","Current Changes"
"Total Changes","-1822.6","-11999.1","--","-13821.7","Base Year 2004 $M","MEADS","2013-12","FireUnit","Current Changes"
"CE - Cost Variance","2708.8","--","--","2708.8","Base Year 2004 $M","MEADS","2013-12","FireUnit","Current Changes"
"CE - Cost & Funding","2708.8","--","--","2708.8","Base Year 2004 $M","MEADS","2013-12","FireUnit","Current Changes"
