"Appropriation","SARbaselineDevelopmentEstimateConstantMil","CurrentAPBdevelopmentObjectiveConstantMil","CurrentAPBdevelopmentThresholdConstantMil","CurrentEstimateConstantMil","SARbaselineDevelopmentEstimateThenYearMil","CurrentAPBdevelopmentObjectiveThenYearMil","CurrentEstimateThenYearMil","Platform","Source","Section","DeflatorYear"
"RDT&E ","4531.4","4531.4","5211.1","2758.8","5255","5255","3177.1","MEADS","2011-12","FireUnit","2004 $M"
"Procurement","11999.1","11999.1","13199","0","16584.4","16584.4","0","MEADS","2011-12","FireUnit","2004 $M"
"Flyaway","9818.9","--","--","0","13494.5","--","0","MEADS","2011-12","FireUnit","2004 $M"
"Recurring","9556.3","--","--","0","13181","--","0","MEADS","2011-12","FireUnit","2004 $M"
"Non Recurring","262.6","-- ","-- ","0","313.5","-- ","0","MEADS","2011-12","FireUnit","2004 $M"
"Support","2180.2","--","--","0","3089.9","--","0","MEADS","2011-12","FireUnit","2004 $M"
"Other Support","1043.3","--","--","0","1465.9","--","0","MEADS","2011-12","FireUnit","2004 $M"
"Initial Spares   ","1136.9","-- ","-- ","0","1624","-- ","0","MEADS","2011-12","FireUnit","2004 $M"
"MILCON","0","0","--","0","0","0","0","MEADS","2011-12","FireUnit","2004 $M"
"Acq O&M ","0","0","--","0","0","0","0","MEADS","2011-12","FireUnit","2004 $M"
"Total","16530.5","16530.5","N/A","2758.8","21839.4","21839.4","3177.1","MEADS","2011-12","FireUnit","2004 $M"
