"Year","PBsource","PEnumber","PE Name","ProjectNumber","ProjectName","Platform"
"2003","Defense Wide","1001018D8Z","NATO Alliance Ground Surveillance (NATO AGS)","NA","NA","NATO AGS"
"2004","Defense Wide","1001018D8Z","NATO Alliance Ground Surveillance (NATO AGS)","P018","NATO Alliance Ground Surveillance (NATO AGS)","NATO AGS"
"2006","Defense Wide","1001018D8Z","NATO Alliance Ground Surveillance (NATO AGS)","P018","NATO Alliance Ground Surveillance (NATO AGS)","NATO AGS"
"2007","Defense Wide","1001018D8Z","NATO Joint STARS","P018","NATO Alliance Ground Surveillance (NATO AGS)","NATO AGS"
"2009","Defense Wide","1001018D8Z","NATO Alliance Ground Surveillance (NATO AGS)","P018","NATO Alliance Ground Surveillance (NATO AGS)","NATO AGS"
"2010","Defense Wide","1001018D8Z","NATO AGS","P018","NATO AGS","NATO AGS"
"2012","Air Force ","0305220F","Global Hawk Development/Fielding","676001","NATO AGS","NATO AGS"
"2013","Air Force","0305220F","Global Hawk Development/Fielding","676001","NATO AGS","NATO AGS"
"2014","Air Force","0305238F","NATO AGS","676001","NATO AGS","NATO AGS"
"2015","Air Force","0305238F","NATO AGS","676001","NATO AGS","NATO AGS"
"2016","Air Force","305220F",NA,NA,NA,"NATO AGS"
