"Events","StartQuarter","StartYear","EndQuarter","EndYear","Platform","Source"
"2013",NA,NA,NA,NA,"NATO AGS","1905-07-04"
"Contract Award","3","2012","3","2012","NATO AGS","1905-07-04"
"IOC","1","2017","1","2017","NATO AGS","1905-07-04"
"FOC","3","2017","3","2017","NATO AGS","1905-07-04"
"Flight Test","4","2015","3","2016","NATO AGS","1905-07-04"
"Aircraft Delivery","4","2016","2","2017","NATO AGS","1905-07-04"
"Ground Station Delivery","4","2016","3","2017","NATO AGS","1905-07-04"
"Design and Development Maritime Mode","3","2012","3","2015","NATO AGS","1905-07-04"
"Test and Evaluation Support","1","2012","3","2017","NATO AGS","1905-07-04"
"Tech Support","1","2012","4","2018","NATO AGS","1905-07-04"
