"Col1","Col2","Col3","Col4","Col5","Remove","Subsection","Platform"
"2009 - Army",NA,NA,NA,NA,NA,NA,"LW155 M777"
"Budget Activity 5 - Engineering and Manufacturing Development",NA,NA,NA,NA,FALSE,"RDT&E Budget Activity  5 - Engineering and Manufacturing Development","LW155 M777"
"Schedule Profile - Project D509","FY 2008","FY 2009","FY 2010","FY 2011",NA,NA,"LW155 M777"
"IBR","1Q",NA,NA,NA,NA,NA,"LW155 M777"
"Trade Study / Downselect","1Q",NA,NA,NA,NA,NA,"LW155 M777"
"Software Requirements Definition","2Q",NA,NA,NA,NA,NA,"LW155 M777"
"Preliminary Design","2Q - 4Q",NA,NA,NA,NA,NA,"LW155 M777"
"Preliminary Design Review",NA,"1Q",NA,NA,NA,NA,"LW155 M777"
"Detailed Design",NA,"1Q - 4Q",NA,NA,NA,NA,"LW155 M777"
"Component Qualification Testing",NA,NA,"1Q - 2Q",NA,NA,NA,"LW155 M777"
"Coding and Unit Test",NA,NA,"2Q - 3Q",NA,NA,NA,"LW155 M777"
"Coding Complete",NA,NA,"3Q",NA,NA,NA,"LW155 M777"
"Integration and Engineering Evaluation Test",NA,NA,"3Q - 4Q",NA,NA,NA,"LW155 M777"
"Software Formal Qualification Test",NA,NA,"4Q",NA,NA,NA,"LW155 M777"
