"Description","Year1","Year2","Year3","Year4","Year7","FirstYearInSequence","Platform","Agency","Source"
"Complete Development Testing (EMD Guns)","2Q",NA,NA,NA,NA,"2002","LW155 M777","USMC","2003"
"Operational Assessment","3Q",NA,NA,NA,NA,"2002","LW155 M777","USMC","2003"
"Pilot Production (PP) Guns (Qty 2)","4Q","1Q",NA,NA,NA,"2002","LW155 M777","USMC","2003"
"Milestone C",NA,"1Q",NA,NA,NA,"2002","LW155 M777","USMC","2003"
"LRIP Contract Award",NA,"1Q",NA,NA,NA,"2002","LW155 M777","USMC","2003"
"Complete Development Testing (PP Guns)",NA,"2Q",NA,NA,NA,"2002","LW155 M777","USMC","2003"
"MOT&E",NA,NA,"4Q",NA,NA,"2002","LW155 M777","USMC","2003"
"Full Rate Production Decision",NA,NA,NA,"1Q",NA,"2002","LW155 M777","USMC","2003"
"IOC",NA,NA,NA,"2Q",NA,"2002","LW155 M777","USMC","2003"
"FOC",NA,NA,NA,NA,"4Q","2002","LW155 M777","USMC","2003"
