"Col1","Col2","Col3","Col4","Col5","Col6","Subsection","Platform"
"2008 - Army",NA,NA,NA,NA,NA,NA,"LW155 M777"
"Budget Activity 5 - Engineering and Manufacturing Development",NA,NA,NA,NA,NA,"RDT&E Budget Activity  5 - Engineering and Manufacturing Development","LW155 M777"
"Schedule Profile - Project D509","FY 2007","FY 2008","FY 2009","FY 2010","FY 2011",NA,"LW155 M777"
"IBR",NA,"1Q",NA,NA,NA,NA,"LW155 M777"
"Trade Study / Downselect",NA,"1Q",NA,NA,NA,NA,"LW155 M777"
"Software Requirements Definition",NA,"2Q",NA,NA,NA,NA,"LW155 M777"
"Preliminary Design",NA,"2Q - 4Q",NA,NA,NA,NA,"LW155 M777"
"Preliminary Design Review",NA,NA,"1Q",NA,NA,NA,"LW155 M777"
"Detailed Design",NA,NA,"1Q - 4Q",NA,NA,NA,"LW155 M777"
"Component Qualification Testing",NA,NA,NA,"1Q - 2Q",NA,NA,"LW155 M777"
"Coding and Unit Test",NA,NA,NA,"2Q - 3Q",NA,NA,"LW155 M777"
"Coding Complete",NA,NA,NA,"3Q",NA,NA,"LW155 M777"
"Integration and Engineering Evaluation Test",NA,NA,NA,"3Q - 4Q",NA,NA,"LW155 M777"
"Software Formal Qualification Test",NA,NA,NA,"4Q",NA,NA,"LW155 M777"
