"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Col13","Platform"
"2012_wctv G01700 - 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Appropriations Budget Activity/Serial Number",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Procurement of W&TCV, Army /2/ Weapons and Other Combat Vehicles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
NA,"Prior Years","FY 2010","FY 2011","FY 2012 Base","FY 2012 OCO","FY 2012 Total","FY 2013","FY 2014","FY 2015","FY 2016","To Complete","Total Prog","LW155 M777"
"Proc Qty","354","53","14",NA,NA,NA,NA,NA,NA,NA,NA,"421","LW155 M777"
"Gross Cost","852","157.4","62","13.1",NA,"13.1","13.7",NA,NA,NA,NA,"1098.1","LW155 M777"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Net Proc","852","157.4","62","13.1",NA,"13.1","13.7",NA,NA,NA,NA,"1098.1","LW155 M777"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Total Proc Cost","852","157.4","62","13.1",NA,"13.1","13.7",NA,NA,NA,NA,"1098.1","LW155 M777"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Wpn SysProc U/C","2.4","3","4.4",NA,NA,NA,NA,NA,NA,NA,NA,"2.6","LW155 M777"
