"Col1","Col2","Col3","Col4","Col8","Platform"
"2002_RDTEN_BA_4_book.summary - June 2001",NA,NA,NA,NA,"LW155 M777"
"Budget Activity: 4 - Demonstration/Validation","0603635M Marine Corps Ground Combat/Supt Arms",NA,NA,"C2112 LW155","LW155 M777"
"Project Change Summary","FY 2000","FY 2001","FY 2002",NA,"LW155 M777"
"Previous President's Budget","27.117","13.119","0",NA,"LW155 M777"
"Adjustments to Previous President's Budget",NA,NA,NA,NA,"LW155 M777"
"SBIR/STTR Transfer","0.527",NA,NA,NA,"LW155 M777"
"Execution Adjustments","-",NA,NA,NA,"LW155 M777"
"Minor Affordability Adjustments","0.094","0.121","0.297",NA,"LW155 M777"
"Program Adjustments","0.151",NA,"18.5",NA,"LW155 M777"
"Current Budget Submit","26.345","12.998","18.203",NA,"LW155 M777"
