"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Remove","SubsectionName","SubsectionValue","Platform","BudgetActivity"
"2007 - Army",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777",NA
"Budget Activity 5 - Engineering and Manufacturing Development",NA,NA,NA,NA,NA,NA,TRUE,"BudgetActivity","RDT&E Budget Activity  5 - Engineering and Manufacturing Development","LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Schedule Profile - Project D509","FY 2006","FY 2007","FY 2008","FY 2009","FY 2010","FY 2011",NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"IBR",NA,NA,"1Q",NA,NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Trade Study / Downselect",NA,NA,"1Q",NA,NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Software Requirements Definition",NA,NA,"2Q",NA,NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Preliminary Design",NA,NA,"2Q - 4Q",NA,NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Preliminary Design Review",NA,NA,NA,"1Q",NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Detailed Design",NA,NA,NA,"1Q - 4Q",NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Component Qualification Testing",NA,NA,NA,NA,"1Q - 2Q",NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Coding and Unit Test",NA,NA,NA,NA,"2Q - 3Q",NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Coding Complete",NA,NA,NA,NA,"3Q",NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Integration and Engineering Evaluation Test",NA,NA,NA,NA,"3Q - 4Q",NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Software Formal Qualification Test",NA,NA,NA,NA,"4Q",NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
