"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Col13","Platform"
"2002_wtcv G01700 - June 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Appropriations Budget Activity/Serial Number",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Procurement of W&TCV, Army /2/ Weapons and Other Combat Vehicles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
NA,"Prior Years","FY 1999","FY 2000","FY 2001","FY 2002","FY 2003","FY 2004","FY 2005","FY 2006","FY 2007","To Complete","Total Program","LW155 M777"
"Proc Qty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Gross Cost",NA,NA,NA,NA,"1.1",NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Net Proc",NA,NA,NA,NA,"1.1",NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Total Proc Cost",NA,NA,NA,NA,"1.1",NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Wpn SysProc U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
