"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Platform"
"2003 USMC",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
NA,"FY 2002","FY 2003","FY 2004","FY 2005","FY 2006","FY 2007","FY 2008","FY 2009","LW155 M777"
"Complete Development Testing (EMD Guns)","2Q",NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Operational Assessment","3Q",NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Pilot Production (PP) Guns (Qty 2)","4Q","1Q",NA,NA,NA,NA,NA,NA,"LW155 M777"
"Milestone C",NA,"1Q",NA,NA,NA,NA,NA,NA,"LW155 M777"
"LRIP Contract Award",NA,"1Q",NA,NA,NA,NA,NA,NA,"LW155 M777"
"Complete Development Testing (PP Guns)",NA,"2Q",NA,NA,NA,NA,NA,NA,"LW155 M777"
"MOT&E",NA,NA,"4Q",NA,NA,NA,NA,NA,"LW155 M777"
"Full Rate Production Decision",NA,NA,NA,"1Q",NA,NA,NA,NA,"LW155 M777"
"IOC",NA,NA,NA,"2Q",NA,NA,NA,NA,"LW155 M777"
"FOC",NA,NA,NA,NA,NA,NA,"4Q",NA,"LW155 M777"
