"Description","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","CostToCompleteMil","TotalCostMil","Subsection","Platform","Source"
"1998-02-01 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1998-02"
"Procurement, Marine Corps (1109) / Weapons and Tracked Combat Vehicles (2) / 009",NA,NA,NA,NA,NA,NA,NA,"Procurement, Marine Corps (1109) / Weapons and Tracked Combat Vehicles (2) / 009","LW155 M777","1998-02"
"Proc Qty",NA,"70","120","120","120","96","526",NA,"LW155 M777","1998-02"
"Gross Cost","10","86.3","116.8","121.6","117.7","100","552.4",NA,"LW155 M777","1998-02"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1998-02"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1998-02"
"Net Proc (P-1)","10","86.3","116.8","121.6","117.7","100","552.4",NA,"LW155 M777","1998-02"
"Initial Spares",NA,NA,"3.4","5.9","5","2.6","16.9",NA,"LW155 M777","1998-02"
"Total Proc Cost","10","86.3","120.2","127.5","122.7","102.6","569.3",NA,"LW155 M777","1998-02"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,"1.1",NA,"LW155 M777","1998-02"
"Wpn Sys Proc U/C",NA,"1.2","1","1","1","1","1.1",NA,"LW155 M777","1998-02"
