"","Cost.Summary","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6"
"19","Total Acquisition Cost and Quantity - FIRE UNIT",NA,NA,NA,NA,NA,NA,NA
"20",NA,"BY 2004 $M",NA,NA,"BY2004","TY $M",NA,NA
"21",NA,NA,NA,NA,"$M",NA,NA,NA
"22","Appropriation","SAR Baseline Dev Est","Current APB Development Objective/Threshold",NA,"Current Estimate",NA,NA,NA
"23",NA,NA,NA,NA,NA,"SAR Baseline Dev Est","Current APB Development Objective","Current Estimate"
"24",NA,NA,NA,NA,NA,NA,NA,NA
"25","RDT&E ","4531.4","4531.4","5211.1","2758.8","5255","5255","3177.1"
"26","Procurement","11999.1","11999.1","13199","0","16584.4","16584.4","0"
"27","Flyaway","9818.9","--","--","0","13494.5","--","0"
"28","Recurring","9556.3","--","--","0","13181","--","0"
"29","Non Recurring","262.6","-- ","-- ","0","313.5","-- ","0"
"30","Support","2180.2","--","--","0","3089.9","--","0"
"31","Other Support","1043.3","--","--","0","1465.9","--","0"
"32","Initial Spares   ","1136.9","-- ","-- ","0","1624","-- ","0"
"33","MILCON","0","0","--","0","0","0","0"
"34","Acq O&M ","0","0","--","0","0","0","0"
"35","Total","16530.5","16530.5","N/A","2758.8","21839.4","21839.4","3177.1"
